œ∞πﬂ π”√≈∆∫≈	≤ƒ÷ ¥˙¬Î
Q195	1001
Q215A	1002
Q215B	1003
Q235A	1004
Q235B	1005
Q235C	1006
Q235D	1007
Q275A	1008
Q275B	1009
Q275C	1010
Q275D	1011
08	1012
08Al	1013
10	1014
15	1015
20	1016
25	1017
30	1018
35	1019
40	1020
45	1021
50	1022
55	1023
60	1024
65	1025
70	1026
75	1027
80	1028
85	1029
15Mn	1030
20Mn	1031
25Mn	1032
30Mn	1033
35Mn	1034
40Mn	1035
45Mn	1036
50Mn	1037
60Mn	1038
65Mn	1039
70Mn	1040
DC01	1041
DC03	1042
DC04	1043
DC05	1044
DC06	1045
DC07	1046
Q345B	1047
Q345C	1048
Q345D	1049
Q390B	1050
Q390C	1051
Q390D	1052
Q420B	1053
Q420C	1054
Q460C	1055
Q355NB	1056
Q355NC	1057
Q355ND	1058
Q355NE	1059
Q355NF	1060
Q390NB	1061
Q390NC	1062
Q390ND	1063
Q390NE	1064
Q420NB	1065
Q420NC	1066
Q420ND	1067
Q420NE	1068
Q460NC	1069
Q460ND	1070
Q460NE	1071
Q355MB	1072
Q355MC	1073
Q355MD	1074
Q355ME	1075
Q355MF	1076
Q390MB	1077
Q390MC	1078
Q390MD	1079
Q390ME	1080
Q420MB	1081
Q420MC	1082
Q420MD	1083
Q420ME	1084
Q460MC	1085
Q460MD	1086
Q460ME	1087
Q500MC	1088
Q500MD	1089
Q500ME	1090
Q550MC	1091
Q550MD	1092
Q550ME	1093
Q620MC	1094
Q620MD	1095
Q620ME	1096
Q690MC	1097
Q690MD	1098
Q690ME	1099
20Mn2	1100
30Mn2	1101
35Mn2	1102
40Mn2	1103
45Mn2	1104
50Mn2	1105
20MnV	1106
27SiMn	1107
35SiMn	1108
42SiMn	1109
20SiMn2MoV	1110
25SiMn2MoV	1111
37SiMn2MoV	1112
40B	1113
45B	1114
50B	1115
25MnB	1116
35MnB	1117
40MnB	1118
45MnB	1119
20MnMoB	1120
15MnVB	1121
20MnVB	1122
40MNVB	1123
20MnTiB	1124
25MnTiBRE	1125
15Cr	1126
20Cr	1127
30Cr	1128
35Cr	1129
40Cr	1130
45Cr	1131
50Cr	1132
38CrSi	1133
12CrMo	1134
15CrMo	1135
20CrMo	1136
25CrMo	1137
30CrMo	1138
35CrMo	1139
42CrMo	1140
50CrMo	1141
12CrMoV	1142
35CrMoV	1143
12Cr1MoV	1144
25Cr2MoV	1145
25Cr2Mo1V	1146
38CrMoAl	1147
40CrV	1148
50CrV	1149
15CrMn	1150
20CrMn	1151
40CrMn	1152
20CrMnSi	1153
25CrMnSi	1154
30CrMnSi	1155
35CrMnSi	1156
20CrMnMo	1157
40CrMnMo	1158
20CrMnTi	1159
30CrMnTi	1160
20CrNi	1161
40CrNi	1162
45CrNi	1163
50CrNi	1164
