品牌	Brand
产品系列	ProductLine
操作方式	ModeOfOperation	
额定电流范围	RatedCurrentRange
接线方式	ConnectionMode
国产进口	DomesticImported
产品名称	TheProductName
订货号	OrderNo
备注	Note
电流等级	CurrentRating
极数	PoleNumber
控制方式	ControlMode
应用类别	ApplicationCategory
分断能力	BreakingCapacity
脱扣曲线	TrippingCurves
额定电流	RatedCurrent
极数	PoleNumber
可配剩余电流动作附件	CanBeEquippedWithResidualCurrentActionAccessories
额定剩余动作电流	RatedResidualOperatingCurrent
可配电气附件	ElectricalAccessoriesAvailable
壳架电流	CurrentShellFrame
分断能力	BreakingCapacity
脱扣器	Trip
极数	PoleNumber
额定电流	RatedCurrent
控制器型号	ControllerModel
控制器电压	ControllerVoltage
