是否必填			1	1	1	1	1	1
序号	分类名称	供应商型号规格	品牌	产品系列	宽度(mm)	深度(mm)	高度(mm)	备注
1	MCC柜	600*800*2200	扬州东安	MCC柜	600	800	2200	双面柜
2	MCC柜	800*800*2200	扬州东安	MCC柜	800	800	2200	双面柜
3	MCC柜	800*1000*2200	扬州东安	MCC柜	800	1000	2200	双面柜
4	MCC柜	600*1000*2200	扬州东安	MCC柜	600	1000	2200	双面柜
5	MCC柜	800*600*2200	扬州东安	MCC柜	800	600	2200	单面柜
6	MCC柜	800*500*2200	扬州东安	MCC柜	800	500	2200	单面柜
7	MCC柜	1200*500*2200	扬州东安	MCC柜	1200	500	2200	单面柜
8	MCC柜	1200*600*2200	扬州东安	MCC柜	1200	600	2200	单面柜
9	MCC柜	400*1000*2200	国优	抽屉柜	400	1000	2200	
10	MCC柜	600*1000*2200	国优	抽屉柜	600	1000	2200	
11	MCC柜	800*1000*2200	国优	抽屉柜	800	1000	2200	
12	MCC柜	1000*1000*2200	国优	抽屉柜	1000	1000	2200	
13	MCC柜	400*800*2200	国优	抽屉柜	400	800	2200	
14	MCC柜	600*800*2200	国优	抽屉柜	600	800	2200	
15	MCC柜	800*800*2200	国优	抽屉柜	800	800	2200	
16	MCC柜	1000*800*2200	国优	抽屉柜	1000	800	2200	
