是否必填			1	1	1	1	1	0
序号	分类名称	供应商型号规格	品牌	产品系列	宽度(mm)	深度(mm)	高度(mm)	备注
1	现场控制箱	400*150*500	扬州东安	现场控制箱	400	150	500	
2	现场控制箱	400*150*450	扬州东安	现场控制箱	400	150	450	
3	现场控制箱	400*250*450	扬州东安	现场控制箱	400	250	450	
4	现场控制箱	250*150*300	扬州东安	现场控制箱	250	150	300	
5	现场控制箱	500*250*700	扬州东安	现场控制箱	500	250	700	
6	现场控制箱	300*250*450	扬州东安	现场控制箱	300	250	450	
7	现场控制箱	300*250*400	扬州东安	现场控制箱	300	250	400	
8	现场控制箱	400*200*500	扬州东安	现场控制箱	400	200	500	
9	现场控制箱	1200*600*1600	扬州东安	现场控制箱	1200	600	1600	
10	现场控制箱	900*600*1600	扬州东安	现场控制箱	900	600	1600	
11	现场控制箱	700*600*1600	扬州东安	现场控制箱	700	600	1600	
12	现场控制箱	700*250*1400	扬州东安	现场控制箱	700	250	1400	
