是否必填			1	1	1	1	1	1	0
序号	分类名称	供应商型号规格	品牌	产品系列	电机功率	相数及电压	通讯代号	EMC滤波器	备注
1	低压变频器	ATV340U07N4	施耐德	ATV340系列变频器	0.75KW	三相350-480V 50/60Hz	无代号	标准集成EMC滤波器	重载应用
2	低压变频器	ATV340U15N4	施耐德	ATV340系列变频器	1.5kW	三相350-480V 50/60Hz	无代号	标准集成EMC滤波器	重载应用
3	低压变频器	ATV340U22N4	施耐德	ATV340系列变频器	2.2kW	三相350-480V 50/60Hz	无代号	标准集成EMC滤波器	重载应用
4	低压变频器	ATV340U30N4	施耐德	ATV340系列变频器	3kW	三相350-480V 50/60Hz	无代号	标准集成EMC滤波器	重载应用
5	低压变频器	ATV340U40N4	施耐德	ATV340系列变频器	4kW	三相350-480V 50/60Hz	无代号	标准集成EMC滤波器	重载应用
6	低压变频器	ATV340U55N4	施耐德	ATV340系列变频器	5.5kW	三相350-480V 50/60Hz	无代号	标准集成EMC滤波器	重载应用
7	低压变频器	ATV340U75N4	施耐德	ATV340系列变频器	7.5kW	三相350-480V 50/60Hz	无代号	标准集成EMC滤波器	重载应用
8	低压变频器	ATV340D11N4	施耐德	ATV340系列变频器	11kW	三相350-480V 50/60Hz	无代号	标准集成EMC滤波器	重载应用
9	低压变频器	ATV340D15N4	施耐德	ATV340系列变频器	15kW	三相350-480V 50/60Hz	无代号	标准集成EMC滤波器	重载应用
10	低压变频器	ATV340D18N4	施耐德	ATV340系列变频器	18kW	三相350-480V 50/60Hz	无代号	标准集成EMC滤波器	重载应用
11	低压变频器	ATV340D22N4	施耐德	ATV340系列变频器	22kW	三相350-480V 50/60Hz	无代号	标准集成EMC滤波器	重载应用
12	低压变频器	ATV340U07N4E	施耐德	ATV340系列变频器	0.75KW	三相350-480V 50/60Hz	以太网	标准集成EMC滤波器	重载应用
13	低压变频器	ATV340U15N4E	施耐德	ATV340系列变频器	1.5kW	三相350-480V 50/60Hz	以太网	标准集成EMC滤波器	重载应用
14	低压变频器	ATV340U22N4E	施耐德	ATV340系列变频器	2.2kW	三相350-480V 50/60Hz	以太网	标准集成EMC滤波器	重载应用
15	低压变频器	ATV340U30N4E	施耐德	ATV340系列变频器	3kW	三相350-480V 50/60Hz	以太网	标准集成EMC滤波器	重载应用
16	低压变频器	ATV340U40N4E	施耐德	ATV340系列变频器	4kW	三相350-480V 50/60Hz	以太网	标准集成EMC滤波器	重载应用
17	低压变频器	ATV340U55N4E	施耐德	ATV340系列变频器	5.5kW	三相350-480V 50/60Hz	以太网	标准集成EMC滤波器	重载应用
18	低压变频器	ATV340U75N4E	施耐德	ATV340系列变频器	7.5kW	三相350-480V 50/60Hz	以太网	标准集成EMC滤波器	重载应用
19	低压变频器	ATV340D11N4E	施耐德	ATV340系列变频器	11kW	三相350-480V 50/60Hz	以太网	标准集成EMC滤波器	重载应用
20	低压变频器	ATV340D15N4E	施耐德	ATV340系列变频器	15kW	三相350-480V 50/60Hz	以太网	标准集成EMC滤波器	重载应用
21	低压变频器	ATV340D18N4E	施耐德	ATV340系列变频器	18kW	三相350-480V 50/60Hz	以太网	标准集成EMC滤波器	重载应用
22	低压变频器	ATV340D22N4E	施耐德	ATV340系列变频器	22kW	三相350-480V 50/60Hz	以太网	标准集成EMC滤波器	重载应用
23	低压变频器	ATV340D30N4E	施耐德	ATV340系列变频器	30kW	三相350-480V 50/60Hz	以太网	标准集成EMC滤波器	重载应用
24	低压变频器	ATV340D37N4E	施耐德	ATV340系列变频器	37kW	三相350-480V 50/60Hz	以太网	标准集成EMC滤波器	重载应用
25	低压变频器	ATV340D45N4E	施耐德	ATV340系列变频器	45kW	三相350-480V 50/60Hz	以太网	标准集成EMC滤波器	重载应用
26	低压变频器	ATV340D55N4E	施耐德	ATV340系列变频器	55kW	三相350-480V 50/60Hz	以太网	标准集成EMC滤波器	重载应用
27	低压变频器	ATV340D75N4E	施耐德	ATV340系列变频器	75kW	三相350-480V 50/60Hz	以太网	标准集成EMC滤波器	重载应用
28	低压变频器	ATV630U07N4	施耐德	ATV630系列标准变频器	0.75KW	三相350-480V 50/60Hz	无代号	采用集成C2类EMC滤波器	壁挂式
29	低压变频器	ATV630U15N4	施耐德	ATV630系列标准变频器	1.5kW	三相350-480V 50/60Hz	无代号	采用集成C2类EMC滤波器	壁挂式
30	低压变频器	ATV630U22N4	施耐德	ATV630系列标准变频器	2.2kW	三相350-480V 50/60Hz	无代号	采用集成C2类EMC滤波器	壁挂式
31	低压变频器	ATV630U30N4	施耐德	ATV630系列标准变频器	3kW	三相350-480V 50/60Hz	无代号	采用集成C2类EMC滤波器	壁挂式
32	低压变频器	ATV630U40N4	施耐德	ATV630系列标准变频器	4kW	三相350-480V 50/60Hz	无代号	采用集成C2类EMC滤波器	壁挂式
33	低压变频器	ATV630U55N4	施耐德	ATV630系列标准变频器	5.5kW	三相350-480V 50/60Hz	无代号	采用集成C2类EMC滤波器	壁挂式
34	低压变频器	ATV630U75N4	施耐德	ATV630系列标准变频器	7.5kW	三相350-480V 50/60Hz	无代号	采用集成C2类EMC滤波器	壁挂式
35	低压变频器	ATV630D11N4	施耐德	ATV630系列标准变频器	11kW	三相350-480V 50/60Hz	无代号	采用集成C2类EMC滤波器	壁挂式
36	低压变频器	ATV630D15N4	施耐德	ATV630系列标准变频器	15kW	三相350-480V 50/60Hz	无代号	采用集成C2类EMC滤波器	壁挂式
37	低压变频器	ATV630D18N4	施耐德	ATV630系列标准变频器	18kW	三相350-480V 50/60Hz	无代号	采用集成C2类EMC滤波器	壁挂式
38	低压变频器	ATV630D22N4	施耐德	ATV630系列标准变频器	22kW	三相350-480V 50/60Hz	无代号	采用集成C2类EMC滤波器	壁挂式
39	低压变频器	ATV630D30N4	施耐德	ATV630系列标准变频器	30kW	三相350-480V 50/60Hz	无代号	采用集成C2类EMC滤波器	壁挂式
40	低压变频器	ATV630D37N4	施耐德	ATV630系列标准变频器	37kW	三相350-480V 50/60Hz	无代号	采用集成C2类EMC滤波器	壁挂式
41	低压变频器	ATV630D45N4	施耐德	ATV630系列标准变频器	45kW	三相350-480V 50/60Hz	无代号	采用集成C2类EMC滤波器	壁挂式
42	低压变频器	ATV630D55N4	施耐德	ATV630系列标准变频器	55kW	三相350-480V 50/60Hz	无代号	采用集成C2类EMC滤波器	壁挂式
43	低压变频器	ATV630D75N4	施耐德	ATV630系列标准变频器	75kW	三相350-480V 50/60Hz	无代号	采用集成C2类EMC滤波器	壁挂式
