是否必填			1	1	1	1	1	1	1	1	0
序号	分类名称	供应商型号规格	品牌	产品系列	按钮头直径	按钮类型	触点类型	颜色	代号	功能配置	备注
1	按钮	XB2BA11C	施耐德	XB2BA平头按钮	22	平头按钮	1【1NO 一常开】	白色	C	不带符号平头按钮	国产
2	按钮	XB2BA22C	施耐德	XB2BA平头按钮	22	平头按钮	"2【1NC 一常闭】
"	黑色	C	不带符号平头按钮	国产
3	按钮	XB2BA42C	施耐德	XB2BA平头按钮	22	平头按钮	"2【1NC 一常闭】
"	红色	C	不带符号平头按钮	国产
4	按钮	XB2BA21C	施耐德	XB2BA平头按钮	22	平头按钮	1【1NO 一常开】	黑色	C	不带符号平头按钮	国产
5	按钮	XB2BA31C	施耐德	XB2BA平头按钮	22	平头按钮	1【1NO 一常开】	绿色	C	不带符号平头按钮	国产
6	按钮	XB2BA51C	施耐德	XB2BA平头按钮	22	平头按钮	1【1NO 一常开】	黄色	C	不带符号平头按钮	国产
7	按钮	XB2BA61C	施耐德	XB2BA平头按钮	22	平头按钮	1【1NO 一常开】	蓝色	C	不带符号平头按钮	国产
8	按钮	XB2BA3341C	施耐德	XB2BA平头按钮	22	平头按钮	1【1NO 一常开】	红色	C	带符号平头按钮	国产
9	按钮	XB2BA3351C	施耐德	XB2BA平头按钮	22	平头按钮	1【1NO 一常开】	黄色	C	带符号平头按钮	国产
10	按钮	XB2BA4322C	施耐德	XB2BA平头按钮	22	平头按钮	"2【1NC 一常闭】
"	黑色	C	带符号平头按钮	国产
11	按钮	XB2BA4342C	施耐德	XB2BA平头按钮	22	平头按钮	"2【1NC 一常闭】
"	红色	C	带符号平头按钮	国产
12	按钮	XB4BA21	施耐德	XB4BA进口金属系列平头按钮	22	平头按钮	1【1NO 一常开】	黑色	无	不带符号平头按钮	进口
13	按钮	XB4BA31	施耐德	XB4BA进口金属系列平头按钮	22	平头按钮	1【1NO 一常开】	绿色	无	不带符号平头按钮	进口
14	按钮	XB4BA51	施耐德	XB4BA进口金属系列平头按钮	22	平头按钮	1【1NO 一常开】	黄色	无	不带符号平头按钮	进口
15	按钮	XB4BA61	施耐德	XB4BA进口金属系列平头按钮	22	平头按钮	1【1NO 一常开】	兰色	无	不带符号平头按钮	进口
16	按钮	XB4BA42	施耐德	XB4BA进口金属系列平头按钮	22	平头按钮	"2【1NC 一常闭】
"	红色	无	不带符号平头按钮	进口
17	按钮	XB2BS442C	施耐德	XB2BS转动复位锁扣式急停按钮	22	急停按钮	"2【1NC 一常闭】
"	红色	无	不带符号平头按钮	国产
18	按钮	XB2BS542C	施耐德	XB2BS转动复位锁扣式急停按钮	22	急停按钮	"2【1NC 一常闭】
"	红色	无	不带符号平头按钮	国产
19	按钮	XB2BS642C	施耐德	XB2BS转动复位锁扣式急停按钮	22	急停按钮	"2【1NC 一常闭】
"	红色	无	不带符号平头按钮	国产
20	按钮	ZB2BA4C+ZB2BZ101C	施耐德	XB2BA平头按钮	22	平头按钮	1【1NO 一常开】	红色	无	不带符号平头按钮	国产
21	按钮	ZB2BA5C+ZB2BZ102C	施耐德	XB2BA平头按钮	22	平头按钮	"2【1NC 一常闭】
"	黄色	无	不带符号平头按钮	国产
