是否必填			1	1	1	1	1	1	0
序号	分类名称	供应商型号规格	品牌	产品系列	旋钮头直径	旋钮类型	操作位置	触点类型	说明
1	旋钮	ZB2BJ2C	施耐德	ZB2B系列长手柄选择开关头	22	长手柄选择开关头	2位锁定	无	3位
2	旋钮	ZB2BJ3C	施耐德	ZB2B系列长手柄选择开关头	22	长手柄选择开关头	3位锁定	无	3位
3	旋钮	ZB2BJ4C	施耐德	ZB2B系列长手柄选择开关头	22	长手柄选择开关头	1位锁定＋1位自动返回（从右到左）	无	3位
4	旋钮	ZB2BJ5C	施耐德	ZB2B系列长手柄选择开关头	22	长手柄选择开关头	1位锁定（中间）＋2位自动返回	无	3位
5	旋钮	ZB2BJ7C	施耐德	ZB2B系列长手柄选择开关头	22	长手柄选择开关头	2位锁定＋1位自动返回（从右到中间）	无	3位
7	旋钮	XB2BD21C	施耐德	XB2BD标准手柄选择开关	22	标准手柄	2位锁定	1NO 一常开	2位
8	旋钮	XB2BD25C	施耐德	XB2BD标准手柄选择开关	22	标准手柄	2位锁定	1NO＋1NC 一常开1常闭	2位
9	旋钮	XB2BD33C	施耐德	XB2BD标准手柄选择开关	22	标准手柄	3位锁定	2NO 两常开	3位
10	旋钮	XB2BD41C	施耐德	XB2BD标准手柄选择开关	22	标准手柄	1位锁定＋1位自动返回（从右至左）	1NO 一常开	3位
11	旋钮	XB2BD45C	施耐德	XB2BD标准手柄选择开关	22	标准手柄	1位锁定＋1位自动返回（从右至左）	"1NO＋1NC 一常开1常闭
"	3位
12	旋钮	XB2BD53C	施耐德	XB2BD标准手柄选择开关	22	标准手柄	1位锁定（中间）＋2位自动返回	2NO 两常开	3位
13	旋钮	XB2BD73C	施耐德	XB2BD标准手柄选择开关	22	标准手柄	2位锁定＋1位自动返回（从左到中间）	2NO 两常开	3位
