是否必填			1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
序号	分类名称	供应商型号规格	品牌	产品系列	电流整定范围	电动机功率	电流互感器类型	附件功能	开关量输入配置	通信配置	漏电保护配置	模拟量输出配置	报警配置	S0E事件记录配置	温度保护配置	电压功能配置	抗晃电配置	显示方式	产品类型	主体与显示连接线	主体与互感器连接线	产品说明
1	低压电动机保护器	ARD2F-1	安科瑞	ARD2F系列电动机保护器	0.1-9999A	"0.12-440kW
"	"采用专用电流互感器
"	不选配	不选配	不选配	不选配	不选配	不选配	不选配	不选配	不选配	不选配	不选配	分体式	标配1.5m	小于等于100A标配1米，大于100A用户自备	"对于无显示要求的客户，必须在一批订单中订购一个90L显示单元作为调试使用。
"
2	低压电动机保护器	ARD2F-5	安科瑞	ARD2F系列电动机保护器	0.1-9999A	"0.12-440kW
"	"采用专用电流互感器
"	不选配	不选配	不选配	不选配	不选配	不选配	不选配	不选配	不选配	不选配	不选配	分体式	标配1.5m	小于等于100A标配1米，大于100A用户自备	"对于无显示要求的客户，必须在一批订单中订购一个90L显示单元作为调试使用。
"
3	低压电动机保护器	ARD2F-1.6	安科瑞	ARD2F系列电动机保护器	0.4-1.6A	"0.12-0.55kW
"	"采用专用电流互感器
"	不选配	不选配	不选配	不选配	不选配	不选配	不选配	不选配	不选配	不选配	不选配	分体式	标配1.5m	小于等于100A标配1米，大于100A用户自备	"对于无显示要求的客户，必须在一批订单中订购一个90L显示单元作为调试使用。
"
4	低压电动机保护器	ARD2F-6.3	安科瑞	ARD2F系列电动机保护器	1.6-6.3A	"0.75-2.2kW
"	"采用专用电流互感器
"	不选配	不选配	不选配	不选配	不选配	不选配	不选配	不选配	不选配	不选配	不选配	分体式	标配1.5m	小于等于100A标配1米，大于100A用户自备	"对于无显示要求的客户，必须在一批订单中订购一个90L显示单元作为调试使用。
"
5	低压电动机保护器	ARD2F-25	安科瑞	ARD2F系列电动机保护器	6.3-25A	"3-11kW
"	"采用专用电流互感器
"	不选配	不选配	不选配	不选配	不选配	不选配	不选配	不选配	不选配	不选配	不选配	分体式	标配1.5m	小于等于100A标配1米，大于100A用户自备	"对于无显示要求的客户，必须在一批订单中订购一个90L显示单元作为调试使用。
"
6	低压电动机保护器	ARD2F-100	安科瑞	ARD2F系列电动机保护器	25-100A	"15-45kW
"	"采用专用电流互感器
"	不选配	不选配	不选配	不选配	不选配	不选配	不选配	不选配	不选配	不选配	不选配	分体式	标配1.5m	小于等于100A标配1米，大于100A用户自备	"对于无显示要求的客户，必须在一批订单中订购一个90L显示单元作为调试使用。
"
7	低压电动机保护器	ARD2F-250	安科瑞	ARD2F系列电动机保护器	63-250A	"55-132kW
"	"采用专用电流互感器
"	不选配	不选配	不选配	不选配	不选配	不选配	不选配	不选配	不选配	不选配	不选配	分体式	标配1.5m	小于等于100A标配1米，大于100A用户自备	"对于无显示要求的客户，必须在一批订单中订购一个90L显示单元作为调试使用。
"
8	低压电动机保护器	ARD2F-800	安科瑞	ARD2F系列电动机保护器	250-800A	"160-440kW
"	"采用专用电流互感器
"	不选配	不选配	不选配	不选配	不选配	不选配	不选配	不选配	不选配	不选配	不选配	分体式	标配1.5m	小于等于100A标配1米，大于100A用户自备	"对于无显示要求的客户，必须在一批订单中订购一个90L显示单元作为调试使用。
"
9	低压电动机保护器	ARD2F-1+J+SR	安科瑞	ARD2F系列电动机保护器	0.1-9999A	"0.12-440kW
"	"采用专用电流互感器
"	不选配	不选配	不选配	不选配	不选配	报警	8个S0E事件记录	不选配	不选配	不选配	不选配	分体式	标配1.5m	小于等于100A标配1米，大于100A用户自备	"对于无显示要求的客户，必须在一批订单中订购一个90L显示单元作为调试使用。
"
