品牌	Brand
产品系列	ProductLine
电流整定范围	CurrentSettingRange
电动机功率	MotorPower
电流互感器类型	TypeOfCurrentTransformer
附件功能	TheAttachmentFunction
开关量输入配置	SwitchInputConfiguration
通信配置	CommunicationConfiguration
漏电保护配置	LeakageProtectionConfiguration
模拟量输出配置	AnalogOutputConfiguration
报警配置	AlarmConfiguration
S0E事件记录配置	S0EEventRecordConfiguration
温度保护配置	TemperatureProtectionConfiguration
电压功能配置	VoltageFunctionConfiguration
抗晃电配置	AntiShockConfiguration
显示方式	DisplayMode
产品类型	TheProductType
主体与显示连接线	BodyAndDisplayConnector
主体与互感器连接线	ConnectionWireBetweenMainBodyAndTransformer
产品说明	TheProductDescription
