是否必填			1	1	1	1	1	1	1	1	1	1	1	1	1
序号	分类名称	供应商型号规格	品牌	产品系列	仪表外形	开孔尺寸	功能代号	显示方式	输入电压	输入电流	电源电压范围	继电器越限报警输出配置	模拟量输出配置	通讯接口配置	开关量输入输出 I/O模块配置
1	多功能表	PZ80-AI3 输入电压AC220V 1A AC80-270V	安科瑞	PZ系列电流表	80×80mm	"76×76
"	三相交流电流	LED显示	"AC220V
"	1A	"AC80-270V
"	不选配	不选配	不选配	不选配
2	多功能表	PZ80-AI3 输入电压AC220V 1A DC100-350V	安科瑞	PZ系列电流表	80×80mm	"76×76
"	三相交流电流	LED显示	"AC220V
"	1A	"
DC100-350V

"	不选配	不选配	不选配	不选配
3	多功能表	PZ80-AI3 输入电压AC220V 5A AC80-270V	安科瑞	PZ系列电流表	80×80mm	"76×76
"	三相交流电流	LED显示	"AC220V
"	5A	"AC80-270V
"	不选配	不选配	不选配	不选配
4	多功能表	PZ80-AI3 输入电压AC220V 5A DC100-350V	安科瑞	PZ系列电流表	80×80mm	"76×76
"	三相交流电流	LED显示	"AC220V
"	5A	"
DC100-350V

"	不选配	不选配	不选配	不选配
5	多功能表	PZ80-AI3 输入电压AC380V 1A AC80-270V	安科瑞	PZ系列电流表	80×80mm	"76×76
"	三相交流电流	LED显示	"AC380V
"	1A	"AC80-270V
"	不选配	不选配	不选配	不选配
6	多功能表	PZ80-AI3 输入电压AC380V 1A DC100-350V	安科瑞	PZ系列电流表	80×80mm	"76×76
"	三相交流电流	LED显示	"AC380V
"	1A	"
DC100-350V

"	不选配	不选配	不选配	不选配
7	多功能表	PZ80-AI3 输入电压AC380V 5A AC80-270V	安科瑞	PZ系列电流表	80×80mm	"76×76
"	三相交流电流	LED显示	"AC380V
"	5A	"AC80-270V
"	不选配	不选配	不选配	不选配
8	多功能表	PZ80-AI3 输入电压AC380V 5A DC100-350V	安科瑞	PZ系列电流表	80×80mm	"76×76
"	三相交流电流	LED显示	"AC380V
"	5A	"
DC100-350V

"	不选配	不选配	不选配	不选配
9	多功能表	PZ80L-AI3 输入电压AC220V 1A AC80-270V	安科瑞	PZ系列电流表	80×80mm	"76×76
"	三相交流电流	LCD显示	"AC220V
"	1A	"AC80-270V
"	不选配	不选配	不选配	不选配
10	多功能表	PZ80L-AI3 输入电压AC220V 1A DC100-350V	安科瑞	PZ系列电流表	80×80mm	"76×76
"	三相交流电流	LCD显示	"AC220V
"	1A	"
DC100-350V

"	不选配	不选配	不选配	不选配
11	多功能表	PZ80L-AI3 输入电压AC220V 5A AC80-270V	安科瑞	PZ系列电流表	80×80mm	"76×76
"	三相交流电流	LCD显示	"AC220V
"	5A	"AC80-270V
"	不选配	不选配	不选配	不选配
12	多功能表	PZ80L-AI3 输入电压AC220V 5A DC100-350V	安科瑞	PZ系列电流表	80×80mm	"76×76
"	三相交流电流	LCD显示	"AC220V
"	5A	"
DC100-350V

"	不选配	不选配	不选配	不选配
13	多功能表	PZ80L-AI3 输入电压AC380V 1A AC80-270V	安科瑞	PZ系列电流表	80×80mm	"76×76
"	三相交流电流	LCD显示	"AC380V
"	1A	"AC80-270V
"	不选配	不选配	不选配	不选配
14	多功能表	PZ80L-AI3 输入电压AC380V 1A DC100-350V	安科瑞	PZ系列电流表	80×80mm	"76×76
"	三相交流电流	LCD显示	"AC380V
"	1A	"
DC100-350V

"	不选配	不选配	不选配	不选配
15	多功能表	PZ80L-AI3 输入电压AC380V 5A AC80-270V	安科瑞	PZ系列电流表	80×80mm	"76×76
"	三相交流电流	LCD显示	"AC380V
"	5A	"AC80-270V
"	不选配	不选配	不选配	不选配
16	多功能表	PZ80L-AI3 输入电压AC380V 5A DC100-350V	安科瑞	PZ系列电流表	80×80mm	"76×76
"	三相交流电流	LCD显示	"AC380V
"	5A	"
DC100-350V

"	不选配	不选配	不选配	不选配
