是否必填			1	1	1	1	1	1	1
序号	分类名称	供应商型号规格	品牌	产品系列	输入方式	设计序号	类型	被测电路接通方式	量程
1	电流表	6L2-A 5A	正泰	6L2系列模拟指示电流表	交流	2	电流表	"直接接入
"	5A
2	电流表	6L2-A 10A	正泰	6L2系列模拟指示电流表	交流	2	电流表	"直接接入
"	10A
3	电流表	6L2-A 15A	正泰	6L2系列模拟指示电流表	交流	2	电流表	"直接接入
"	15A
4	电流表	6L2-A 20A	正泰	6L2系列模拟指示电流表	交流	2	电流表	"直接接入
"	20A
5	电流表	6L2-A 30A	正泰	6L2系列模拟指示电流表	交流	2	电流表	"直接接入
"	30A
6	电流表	6L2-A 50A	正泰	6L2系列模拟指示电流表	交流	2	电流表	"直接接入
"	50A
7	电流表	6L2-A 10/5A	正泰	6L2系列模拟指示电流表	交流	2	电流表	"经次级5A电流互感器接入
"	10/5A
8	电流表	6L2-A 15/5A	正泰	6L2系列模拟指示电流表	交流	2	电流表	"经次级5A电流互感器接入
"	15/5A
9	电流表	6L2-A 20/5A	正泰	6L2系列模拟指示电流表	交流	2	电流表	"经次级5A电流互感器接入
"	20/5A
10	电流表	6L2-A 30/5A	正泰	6L2系列模拟指示电流表	交流	2	电流表	"经次级5A电流互感器接入
"	30/5A
11	电流表	6L2-A 40/5A	正泰	6L2系列模拟指示电流表	交流	2	电流表	"经次级5A电流互感器接入
"	40/5A
12	电流表	6L2-A 50/5A	正泰	6L2系列模拟指示电流表	交流	2	电流表	"经次级5A电流互感器接入
"	50/5A
13	电流表	6L2-A 75/5A	正泰	6L2系列模拟指示电流表	交流	2	电流表	"经次级5A电流互感器接入
"	75/5A
14	电流表	6L2-A 100/5A	正泰	6L2系列模拟指示电流表	交流	2	电流表	"经次级5A电流互感器接入
"	100/5A
15	电流表	6L2-A 150/5A	正泰	6L2系列模拟指示电流表	交流	2	电流表	"经次级5A电流互感器接入
"	150/5A
16	电流表	6L2-A 200/5A	正泰	6L2系列模拟指示电流表	交流	2	电流表	"经次级5A电流互感器接入
"	200/5A
17	电流表	6L2-A 250/5A	正泰	6L2系列模拟指示电流表	交流	2	电流表	"经次级5A电流互感器接入
"	250/5A
18	电流表	6L2-A 300/5A	正泰	6L2系列模拟指示电流表	交流	2	电流表	"经次级5A电流互感器接入
"	300/5A
19	电流表	6L2-A 400/5A	正泰	6L2系列模拟指示电流表	交流	2	电流表	"经次级5A电流互感器接入
"	400/5A
20	电流表	6L2-A 500/5A	正泰	6L2系列模拟指示电流表	交流	2	电流表	"经次级5A电流互感器接入
"	500/5A
21	电流表	6L2-A 600/5A	正泰	6L2系列模拟指示电流表	交流	2	电流表	"经次级5A电流互感器接入
"	600/5A
22	电流表	6L2-A 750/5A	正泰	6L2系列模拟指示电流表	交流	2	电流表	"经次级5A电流互感器接入
"	750/5A
23	电流表	6L2-A 800/5A	正泰	6L2系列模拟指示电流表	交流	2	电流表	"经次级5A电流互感器接入
"	800/5A
24	电流表	6L2-A 1000/5A	正泰	6L2系列模拟指示电流表	交流	2	电流表	"经次级5A电流互感器接入
"	1000/5A
25	电流表	6L2-A 1200/5A	正泰	6L2系列模拟指示电流表	交流	2	电流表	"经次级5A电流互感器接入
"	1200/5A
26	电流表	6L2-A 1500/5A	正泰	6L2系列模拟指示电流表	交流	2	电流表	"经次级5A电流互感器接入
"	1500/5A
27	电流表	6L2-A 2000/5A	正泰	6L2系列模拟指示电流表	交流	2	电流表	"经次级5A电流互感器接入
"	2000/5A
28	电流表	6L2-A 2500/5A	正泰	6L2系列模拟指示电流表	交流	2	电流表	"经次级5A电流互感器接入
"	2500/5A
29	电流表	6L2-A 3000/5A	正泰	6L2系列模拟指示电流表	交流	2	电流表	"经次级5A电流互感器接入
"	3000/5A
30	电流表	6L2-A 4000/5A	正泰	6L2系列模拟指示电流表	交流	2	电流表	"经次级5A电流互感器接入
"	4000/5A
31	电流表	42L6-A 20/5A	正泰	42L6系列模拟指示电流表	交流	6	电流表	"经次级5A电流互感器接入
"	20/5A
32	电流表	42L6-A 30/5A	正泰	42L6系列模拟指示电流表	交流	6	电流表	"经次级5A电流互感器接入
"	30/5A
33	电流表	42L6-A 40/5A	正泰	42L6系列模拟指示电流表	交流	6	电流表	"经次级5A电流互感器接入
"	40/5A
34	电流表	42L6-A 50/5A	正泰	42L6系列模拟指示电流表	交流	6	电流表	"经次级5A电流互感器接入
"	50/5A
35	电流表	42L6-A 75/5A	正泰	42L6系列模拟指示电流表	交流	6	电流表	"经次级5A电流互感器接入
"	75/5A
36	电流表	42L6-A 100/5A	正泰	42L6系列模拟指示电流表	交流	6	电流表	"经次级5A电流互感器接入
"	100/5A
37	电流表	42L6-A 150/5A	正泰	42L6系列模拟指示电流表	交流	6	电流表	"经次级5A电流互感器接入
"	150/5A
38	电流表	42L6-A 200/5A	正泰	42L6系列模拟指示电流表	交流	6	电流表	"经次级5A电流互感器接入
"	200/5A
39	电流表	42L6-A 250/5A	正泰	42L6系列模拟指示电流表	交流	6	电流表	"经次级5A电流互感器接入
"	250/5A
40	电流表	42L6-A 300/5A	正泰	42L6系列模拟指示电流表	交流	6	电流表	"经次级5A电流互感器接入
"	300/5A
41	电流表	42L6-A 400/5A	正泰	42L6系列模拟指示电流表	交流	6	电流表	"经次级5A电流互感器接入
"	400/5A
42	电流表	42L6-A 500/5A	正泰	42L6系列模拟指示电流表	交流	6	电流表	"经次级5A电流互感器接入
"	500/5A
43	电流表	42L6-A 600/5A	正泰	42L6系列模拟指示电流表	交流	6	电流表	"经次级5A电流互感器接入
"	600/5A
44	电流表	42L6-A 750/5A	正泰	42L6系列模拟指示电流表	交流	6	电流表	"经次级5A电流互感器接入
"	750/5A
45	电流表	42L6-A 800/5A	正泰	42L6系列模拟指示电流表	交流	6	电流表	"经次级5A电流互感器接入
"	800/5A
46	电流表	42L6-A 1000/5A	正泰	42L6系列模拟指示电流表	交流	6	电流表	"经次级5A电流互感器接入
"	1000/5A
47	电流表	42L6-A 1200/5A	正泰	42L6系列模拟指示电流表	交流	6	电流表	"经次级5A电流互感器接入
"	1200/5A
48	电流表	42L6-A 1500/5A	正泰	42L6系列模拟指示电流表	交流	6	电流表	"经次级5A电流互感器接入
"	1500/5A
49	电流表	42L6-A 2000/5A	正泰	42L6系列模拟指示电流表	交流	6	电流表	"经次级5A电流互感器接入
"	2000/5A
50	电流表	42L6-A 2500/5A	正泰	42L6系列模拟指示电流表	交流	6	电流表	"经次级5A电流互感器接入
"	2500/5A
51	电流表	42L6-A 3000/5A	正泰	42L6系列模拟指示电流表	交流	6	电流表	"经次级5A电流互感器接入
"	3000/5A
52	电流表	42L6-A 4000/5A	正泰	42L6系列模拟指示电流表	交流	6	电流表	"经次级5A电流互感器接入
"	4000/5A
53	电流表	ZN4735  IN:0-5A OUT:0-1000A	北京书漫科技	数显示电流表	交流	无	电流表	"经次级5A电流互感器接入
"	1000/5A
54	电流表	ZN4735  IN:0-5A OUT:0-100A	北京书漫科技	数显示电流表	交流	无	电流表	"经次级5A电流互感器接入
"	100/5A
55	电流表	ZN4735  IN:0-5A OUT:0-400A	北京书漫科技	数显示电流表	交流	无	电流表	"经次级5A电流互感器接入
"	400/5A
