是否必填			1	1	1	1	1	1	1	1	1	1	1	1	1	1
序号	分类名称	供应商型号规格	品牌	产品系列	仪表外形	开孔尺寸	功能代号	显示方式	输入电压	输入电流	电源电压范围	继电器越限报警输出配置	模拟量输出配置	通讯接口配置	开关量输入输出 I/O模块配置	标准脉冲输出配置
1	电能表	PZ80-E3 输入电压AC220V 1A AC80-270V	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	三相I、U、kW、kvar、kWh等	LED显示	"AC220V
"	1A	"AC80-270V
"	不选配	"不选配
"	不选配	不选配	1路脉冲
2	电能表	PZ80-E3 输入电压AC220V 1A DC100-350V	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	三相I、U、kW、kvar、kWh等	LED显示	"AC220V
"	1A	"
DC100-350V

"	不选配	"不选配
"	不选配	不选配	1路脉冲
3	电能表	PZ80-E3 输入电压AC220V 5A AC80-270V	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	三相I、U、kW、kvar、kWh等	LED显示	"AC220V
"	5A	"AC80-270V
"	不选配	"不选配
"	不选配	不选配	1路脉冲
4	电能表	PZ80-E3 输入电压AC220V 5A DC100-350V	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	三相I、U、kW、kvar、kWh等	LED显示	"AC220V
"	5A	"
DC100-350V

"	不选配	"不选配
"	不选配	不选配	1路脉冲
5	电能表	PZ80-E3 输入电压AC380V 1A AC80-270V	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	三相I、U、kW、kvar、kWh等	LED显示	"AC380V
"	1A	"AC80-270V
"	不选配	"不选配
"	不选配	不选配	1路脉冲
6	电能表	PZ80-E3 输入电压AC380V 1A DC100-350V	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	三相I、U、kW、kvar、kWh等	LED显示	"AC380V
"	1A	"
DC100-350V

"	不选配	"不选配
"	不选配	不选配	1路脉冲
7	电能表	PZ80-E3 输入电压AC380V 5A AC80-270V	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	三相I、U、kW、kvar、kWh等	LED显示	"AC380V
"	5A	"AC80-270V
"	不选配	"不选配
"	不选配	不选配	1路脉冲
8	电能表	PZ80-E3 输入电压AC380V 5A DC100-350V	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	三相I、U、kW、kvar、kWh等	LED显示	"AC380V
"	5A	"
DC100-350V

"	不选配	"不选配
"	不选配	不选配	1路脉冲
9	电能表	PZ80-E4 输入电压AC220V 1A AC80-270V	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	三相I、U、kW、kvar、kWh等	LED显示	"AC220V
"	1A	"AC80-270V
"	不选配	"不选配
"	不选配	不选配	1路脉冲
10	电能表	PZ80-E4 输入电压AC220V 1A DC100-350V	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	三相I、U、kW、kvar、kWh等	LED显示	"AC220V
"	1A	"
DC100-350V

"	不选配	"不选配
"	不选配	不选配	1路脉冲
11	电能表	PZ80-E4 输入电压AC220V 5A AC80-270V	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	三相I、U、kW、kvar、kWh等	LED显示	"AC220V
"	5A	"AC80-270V
"	不选配	"不选配
"	不选配	不选配	1路脉冲
12	电能表	PZ80-E4 输入电压AC220V 5A DC100-350V	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	三相I、U、kW、kvar、kWh等	LED显示	"AC220V
"	5A	"
DC100-350V

"	不选配	"不选配
"	不选配	不选配	1路脉冲
13	电能表	PZ80-E4 输入电压AC380V 1A AC80-270V	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	三相I、U、kW、kvar、kWh等	LED显示	"AC380V
"	1A	"AC80-270V
"	不选配	"不选配
"	不选配	不选配	1路脉冲
14	电能表	PZ80-E4 输入电压AC380V 1A DC100-350V	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	三相I、U、kW、kvar、kWh等	LED显示	"AC380V
"	1A	"
DC100-350V

"	不选配	"不选配
"	不选配	不选配	1路脉冲
15	电能表	PZ80-E4 输入电压AC380V 5A AC80-270V	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	三相I、U、kW、kvar、kWh等	LED显示	"AC380V
"	5A	"AC80-270V
"	不选配	"不选配
"	不选配	不选配	1路脉冲
16	电能表	PZ80-E4 输入电压AC380V 5A DC100-350V	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	三相I、U、kW、kvar、kWh等	LED显示	"AC380V
"	5A	"
DC100-350V

"	不选配	"不选配
"	不选配	不选配	1路脉冲
17	电能表	PZ80-E3(4)/H 输入电压AC220V 1A AC80-270V	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	3I、3U、kW等零序电流不平衡度等	LED显示	"AC220V
"	1A	"AC80-270V
"	不选配	"不选配
"	不选配	不选配	1路脉冲
18	电能表	PZ80-E3(4)/H 输入电压AC220V 1A DC100-350V	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	3I、3U、kW等零序电流不平衡度等	LED显示	"AC220V
"	1A	"
DC100-350V

"	不选配	"不选配
"	不选配	不选配	1路脉冲
19	电能表	PZ80-E3(4)/H 输入电压AC220V 5A AC80-270V	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	3I、3U、kW等零序电流不平衡度等	LED显示	"AC220V
"	5A	"AC80-270V
"	不选配	"不选配
"	不选配	不选配	1路脉冲
20	电能表	PZ80-E3(4)/H 输入电压AC220V 5A DC100-350V	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	3I、3U、kW等零序电流不平衡度等	LED显示	"AC220V
"	5A	"
DC100-350V

"	不选配	"不选配
"	不选配	不选配	1路脉冲
21	电能表	PZ80-E3(4)/H 输入电压AC380V 1A AC80-270V	安科瑞	PZ系列多功能表	80×80mm	"76×76
"	3I、3U、kW等零序电流不平衡度等	LED显示	"AC380V
"	1A	"AC80-270V
"	不选配	"不选配
"	不选配	不选配	1路脉冲
