品牌	Brand
产品系列	ProductLine
CPU类型	TheCPUType
型号	Model
规格	Specifications
说明	Instructions
备注	Note
输入	Input
输出	Output
	
电压范围	VoltageRange
线圈电压	TheCoilVoltage
电流类型	CurrentType
触点类型	ContactType
接线端子	Terminal
产品名称	TheProductName
输出类型	TheOutputType
电源电压	ThePowerSupplyVoltage
可配基座	CanMatchTheBase
时间范围	TimeRange
功能	Function
接线结构	ConnectionStructure
插件接口	Plug-inInterface
电流	Current
适用于继电器型号	ApplicableToRelayModels
触点数量	ContactNumber
LED指示灯	TheLEDLight
额定电流	RatedCurrent
穿孔尺寸(mm)	HoleSize
输出电流类型	OutputCurrentType
输出标称值	OutputTheNominalValue
输入电流类型	InputCurrentType
输入标称值	EnterTheNominalValue
测量值类型	TypeOfMeasurement
安装方式	Installation
精确等级	PreciseLevel
额定电压	TheRatedVoltage
产品型号	ProductModel
派生代号	TheDerivedCode
电流比	CurrentRatio
精度等级	PrecisionGrade
穿心匝数	WearHeartNumberOfTurns
额定输出	RatedOutput
供电电压	ThePowerSupplyVoltage
触点	Contact
检测功能	DetectionFunction
输出触点	TheOutputContacts
电机功率	TheMotorPower
相数及电压	PhaseNumberAndVoltage
通讯代号	CommunicationCode
EMC滤波器	EMCFilter
订货号	TheOrderNo
按钮头直径	PushButtonHeadDiameter
按钮类型	ButtonType
颜色	Color
代号	CodeName
功能配置	FunctionalConfiguration
产地	Origin
产品代号	ProductCode
旋钮头直径	KnobHeadDiameter
旋钮类型	KnobType
操作位置	OperatingPosition
额定横截面(mm2)	RatedCrossSection(mm2)
接线容量(mm2)	ConnectionCapacity(mm2)
最大电流/最大压接面积(A/平方毫米)	MaximumCurrentMaximumCrimpArea
最大压接范围(平方毫米)	MaximumBondingRange
极数	TheNumberOf
额定工作电流	RatedOperatingCurrent
负载类型	TheLoadType
接线方式	ConnectionMode
线圈类型	TheCoilType
线圈电压频率	CoilVoltageFrequency
安装位置	InstallationPosition
触点型式	ContactType
整定电流范围	SetTheCurrentRange
配用接触器	EquippedWithContactor
脱扣等级	TrippingLevel
产品类型	TheProductType
备注（适用系列）	Remarks
电流整定范围	CurrentSettingRange
电动机功率	MotorPower
电流互感器类型	TypeOfCurrentTransformer
附件功能	TheAttachmentFunction
开关量输入配置	SwitchInputConfiguration
通信配置	CommunicationConfiguration
漏电保护配置	LeakageProtectionConfiguration
模拟量输出配置	AnalogOutputConfiguration
报警配置	AlarmConfiguration
S0E事件记录配置	S0EEventRecordConfiguration
温度保护配置	TemperatureProtectionConfiguration
电压功能配置	VoltageFunctionConfiguration
抗晃电配置	AntiShockConfiguration
显示方式	DisplayMode
主体与显示连接线	BodyAndDisplayConnector
主体与互感器连接线	ConnectionWireBetweenMainBodyAndTransformer
产品说明	TheProductDescription
宽度(mm)	TheWidth(mm)
深度(mm)	Depth(mm)
高度(mm)	Height(mm)
输入方式	InputMode
设计序号	DesignASequenceNumber
类型	Type
被测电路接通方式	TheCircuitUnderTestIsConnected
量程	Range
仪表外形	InstrumentAppearance
开孔尺寸	TheSizeOfHole
功能代号	FunctionCode
输入电压	TheInputVoltage
输入电流	InputCurrent
电源电压范围	SupplyVoltageRange
继电器越限报警输出配置	RelayOverLimitAlarmOutputConfiguration
通讯接口配置	CommunicationInterfaceConfiguration
开关量输入输出	I/O模块配置
标准脉冲输出配置	StandardPulseOutputConfiguration
产品额定电压等级	RatedVoltageGradeOfProduct

操作方式	ModeOfOperation
额定电流范围	RatedCurrentRange
国产进口	DomesticImports
电流等级	CurrentRating
控制方式	TheControlMode
壳架电流	CurrentShellFrame
分断能力	BreakingCapacity
脱扣器	Trip
控制器型号	ModelOfController
控制器电压	ControllerVoltage
脱扣器型号	TypeOfTripper
联接方式	TheConnectingWay
附件	TheAttachment
测量及通信方案	MeasurementAndCommunicationPrograms
应用类别	ApplicationCategory
脱扣曲线	TrippingCurves
可配剩余电流动作附件	CanBeEquippedWithResidualCurrentActionAccessories
额定剩余动作电流	RatedResidualOperatingCurrent
可配电气附件	ElectricalAccessoriesAreAvailable
开关量输入输出配置	SwitchInput/OutputConfiguration	
最大电流/最大压接面积	MaxCurrentAndMaxContactArea
最大压接范围	MaxContactCapicity
