			1	1	1	0	1	1	0	1	0	0	1	0	1	1	1	0	0
序号	分类名称	供应商型号规格	品牌	产品系列	应用类型	认证	防爆类型	信号输出	显示及操作	电气连接	防护等级	压力范围	量程	精度	过程连接	连接材质	膜片材质	填充油	附加信息
1	差压压力变送器	PMD55-AA21BB27CGCHAJA1A+AK(0~3kPa)	E+H	PMD55	微差压	非防爆区	非防爆	4-20mA HART	本地显示和设置	M20		30mbar（对应静压1bar）	0~3kPa		NPT1/4内螺纹*2,适用于垂直引压管,与表头成90°角	316L	316L	硅油	
2	差压压力变送器	PMD55-AA21BB67DGCHAJA1A+AK(-3~3kPa)	E+H	PMD55	微差压	非防爆区	非防爆	4-20mA HART	本地显示和设置	M20		100mbar（对应静压7MPa）	-3~3kPa		NPT1/4内螺纹*2,适用于垂直引压管,与表头成90°角	316L	316L	硅油	
3	差压压力变送器	PMD55-AA21BB67DGCHAJA1A+AK(0~5kPa)	E+H	PMD55	微差压	非防爆区	非防爆	4-20mA HART	本地显示和设置	M20		100mbar（对应静压7MPa）	0~5kPa		NPT1/4内螺纹*2,适用于垂直引压管,与表头成90°角	316L	316L	硅油	
4	差压压力变送器	PMD55-AA21BB67DGCHAJA1A+AK(-5~5kPa)	E+H	PMD55	微差压	非防爆区	非防爆	4-20mA HART	本地显示和设置	M20		100mbar（对应静压7MPa）	-5~5kPa		NPT1/4内螺纹*2,适用于垂直引压管,与表头成90°角	316L	316L	硅油	
5	差压压力变送器	PMD55-AA21BB67FGCHAJA1A+AK(0~10kPa)	E+H	PMD55	微差压	非防爆区	非防爆	4-20mA HART	本地显示和设置	M20		500mbar（对应静压7MPa）	0~10kPa		NPT1/4内螺纹*2,适用于垂直引压管,与表头成90°角	316L	316L	硅油	
6	差压压力变送器	PMD55-AA21BB67FGCHAJA1A+AK(-10~10kPa)	E+H	PMD55	微差压	非防爆区	非防爆	4-20mA HART	本地显示和设置	M20		500mbar（对应静压7MPa）	-10~10kPa		NPT1/4内螺纹*2,适用于垂直引压管,与表头成90°角	316L	316L	硅油	
7	差压压力变送器	PMD55-BC21BB27CGCHAJA1A+AK(0~3kPa)	E+H	PMD55	微差压	ATEX II 2G Ex d IIC T6	隔爆	4-20mA HART	本地显示和设置	M20		30mbar（对应静压1bar）	0~3kPa		NPT1/4内螺纹*2,适用于垂直引压管,与表头成90°角	316L	316L	硅油	
8	差压压力变送器	PMD55-BC21BB67DGCHAJA1A+AK(-3~3kPa)	E+H	PMD55	微差压	ATEX II 2G Ex d IIC T6	隔爆	4-20mA HART	本地显示和设置	M20		100mbar（对应静压7MPa）	-3~3kPa		NPT1/4内螺纹*2,适用于垂直引压管,与表头成90°角	316L	316L	硅油	
9	差压压力变送器	PMD55-BC21BB67DGCHAJA1A+AK(0~5kPa)	E+H	PMD55	微差压	ATEX II 2G Ex d IIC T6	隔爆	4-20mA HART	本地显示和设置	M20		100mbar（对应静压7MPa）	0~5kPa		NPT1/4内螺纹*2,适用于垂直引压管,与表头成90°角	316L	316L	硅油	
