			1	1	0	1	1	1	1	0	1	0	1	1	1	1	1	0
序号	分类名称	供应商型号规格	品牌	产品系列	认证	防爆类型	信号输出	显示及操作	电缆入口	防护等级	测量范围	精度	过程连接	连接材质	膜片材质	填充油	量程	附加信息
1	表压压力变送器	PMP51-AA21JB1PGBGMJA1+AK(0~6bar)	E+H	PMP51	无防爆认证	非防爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~10bar	±0.15%	G1/2外螺纹	316L	316L	硅油	0~6bar	
2	表压压力变送器	PMP51-AA21JB1PGBGMJA1+AK(0~10bar)	E+H	PMP51	无防爆认证	非防爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~10bar	±0.15%	G1/2外螺纹	316L	316L	硅油	0~10bar	
3	表压压力变送器	PMP51-AA21JB1SGBGMJA1+AK(0~16bar)	E+H	PMP51	无防爆认证	非防爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~40bar	±0.15%	G1/2外螺纹	316L	316L	硅油	0~16bar	
4	表压压力变送器	PMP51-AA21JB1SGBGMJA1+AK(0~25bar)	E+H	PMP51	无防爆认证	非防爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~40bar	±0.15%	G1/2外螺纹	316L	316L	硅油	0~25bar	
5	表压压力变送器	PMP51-AA21JB1UGBGMJA1+AK(0~60bar)	E+H	PMP51	无防爆认证	非防爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~100bar	±0.15%	G1/2外螺纹	316L	316L	硅油	0~60bar	
6	表压压力变送器	PMP51-AA21JB1UGBGMJA1+AK(0~100bar)	E+H	PMP51	无防爆认证	非防爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~100bar	±0.15%	G1/2外螺纹	316L	316L	硅油	0~100bar	
7	表压压力变送器	PMP51-AA21JB1WGBGMJA1+AK(0~160bar)	E+H	PMP51	无防爆认证	非防爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~400bar	±0.15%	G1/2外螺纹	316L	316L	硅油	0~160bar	
8	表压压力变送器	PMP51-AA21JB1WGBGMJA1+AK(0~250bar)	E+H	PMP51	无防爆认证	非防爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~400bar	±0.15%	G1/2外螺纹	316L	316L	硅油	0~250bar	
9	表压压力变送器	PMP51-AA21JB1PGBG1JA1+AK(0~6bar)	E+H	PMP51	无防爆认证	非防爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~10bar	±0.15%	M20*1.5外螺纹	316L	316L	硅油	0~6bar	
10	表压压力变送器	PMP51-AA21JB1PGBG1JA1+AK(0~10bar)	E+H	PMP51	无防爆认证	非防爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~10bar	±0.15%	M20*1.5外螺纹	316L	316L	硅油	0~10bar	
11	表压压力变送器	PMP51-AA21JB1SGBG1JA1+AK(0~16bar)	E+H	PMP51	无防爆认证	非防爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~40bar	±0.15%	M20*1.5外螺纹	316L	316L	硅油	0~16bar	
12	表压压力变送器	PMP51-AA21JB1SGBG1JA1+AK(0~25bar)	E+H	PMP51	无防爆认证	非防爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~40bar	±0.15%	M20*1.5外螺纹	316L	316L	硅油	0~25bar	
13	表压压力变送器	PMP51-AA21JB1UGBG1JA1+AK(0~60bar)	E+H	PMP51	无防爆认证	非防爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~100bar	±0.15%	M20*1.5外螺纹	316L	316L	硅油	0~60bar	
14	表压压力变送器	PMP51-AA21JB1UGBG1JA1+AK(0~100bar)	E+H	PMP51	无防爆认证	非防爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~100bar	±0.15%	M20*1.5外螺纹	316L	316L	硅油	0~100bar	
15	表压压力变送器	PMP51-AA21JB1WGBG1JA1+AK(0~160bar)	E+H	PMP51	无防爆认证	非防爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~400bar	±0.15%	M20*1.5外螺纹	316L	316L	硅油	0~160bar	
16	表压压力变送器	PMP51-AA21JB1WGBG1JA1+AK(0~250bar)	E+H	PMP51	无防爆认证	非防爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~400bar	±0.15%	M20*1.5外螺纹	316L	316L	硅油	0~250bar	
17	表压压力变送器	PMP51-AA21JB1PGBR1CB1+AK(0~6bar)	E+H	PMP51	无防爆认证	非防爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~10bar	±0.15%	NPT1/2内螺纹	哈氏合金C	哈氏合金C	硅油	0~6bar	
18	表压压力变送器	PMP51-AA21JB1PGBR1CB1+AK(0~10bar)	E+H	PMP51	无防爆认证	非防爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~10bar	±0.15%	NPT1/2内螺纹	哈氏合金C	哈氏合金C	硅油	0~10bar	
19	表压压力变送器	PMP51-AA21JB1SGBR1CB1+AK(0~16bar)	E+H	PMP51	无防爆认证	非防爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~40bar	±0.15%	NPT1/2内螺纹	哈氏合金C	哈氏合金C	硅油	0~16bar	
20	表压压力变送器	PMP51-AA21JB1SGBR1CB1+AK(0~25bar)	E+H	PMP51	无防爆认证	非防爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~40bar	±0.15%	NPT1/2内螺纹	哈氏合金C	哈氏合金C	硅油	0~25bar	
21	表压压力变送器	PMP51-AA21JB1UGBR1CB1+AK(0~60bar)	E+H	PMP51	无防爆认证	非防爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~100bar	±0.15%	NPT1/2内螺纹	哈氏合金C	哈氏合金C	硅油	0~60bar	
22	表压压力变送器	PMP51-AA21JB1UGBR1CB1+AK(0~100bar)	E+H	PMP51	无防爆认证	非防爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~100bar	±0.15%	NPT1/2内螺纹	哈氏合金C	哈氏合金C	硅油	0~100bar	
23	表压压力变送器	PMP51-AA21JB1WGBR1CB1+AK(0~160bar)	E+H	PMP51	无防爆认证	非防爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~400bar	±0.15%	NPT1/2内螺纹	哈氏合金C	哈氏合金C	硅油	0~160bar	
24	表压压力变送器	PMP51-AA21JB1WGBR1CB1+AK(0~250bar)	E+H	PMP51	无防爆认证	非防爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~400bar	±0.15%	NPT1/2内螺纹	哈氏合金C	哈氏合金C	硅油	0~250bar	
25	表压压力变送器	PMP51-AA21JB1PGBGRCB1+AK(0~6bar)	E+H	PMP51	无防爆认证	非防爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~10bar	±0.15%	G1/2外螺纹,齐平式安装	哈氏合金C	哈氏合金C	硅油	0~6bar	
26	表压压力变送器	PMP51-AA21JB1PGBGRCB1+AK(0~10bar)	E+H	PMP51	无防爆认证	非防爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~10bar	±0.15%	G1/2外螺纹,齐平式安装	哈氏合金C	哈氏合金C	硅油	0~10bar	
27	表压压力变送器	PMP51-AA21JB1SGBGRCB1+AK(0~16bar)	E+H	PMP51	无防爆认证	非防爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~40bar	±0.15%	G1/2外螺纹,齐平式安装	哈氏合金C	哈氏合金C	硅油	0~16bar	
28	表压压力变送器	PMP51-AA21JB1SGBGRCB1+AK(0~25bar)	E+H	PMP51	无防爆认证	非防爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~40bar	±0.15%	G1/2外螺纹,齐平式安装	哈氏合金C	哈氏合金C	硅油	0~25bar	
29	表压压力变送器	PMP51-AA21JB1UGBGRCB1+AK(0~60bar)	E+H	PMP51	无防爆认证	非防爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~100bar	±0.15%	G1/2外螺纹,齐平式安装	哈氏合金C	哈氏合金C	硅油	0~60bar	
30	表压压力变送器	PMP51-AA21JB1UGBGRCB1+AK(0~100bar)	E+H	PMP51	无防爆认证	非防爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~100bar	±0.15%	G1/2外螺纹,齐平式安装	哈氏合金C	哈氏合金C	硅油	0~100bar	
31	表压压力变送器	PMP51-AA21JB1WGBGRCB1+AK(0~160bar)	E+H	PMP51	无防爆认证	非防爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~400bar	±0.15%	G1/2外螺纹,齐平式安装	哈氏合金C	哈氏合金C	硅油	0~160bar	
32	表压压力变送器	PMP51-AA21JB1WGBGRCB1+AK(0~250bar)	E+H	PMP51	无防爆认证	非防爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~400bar	±0.15%	G1/2外螺纹,齐平式安装	哈氏合金C	哈氏合金C	硅油	0~250bar	
33	表压压力变送器	PMP51-BC21JB1PGBGMJA1+AK(0~6bar)	E+H	PMP51	ATEX II 2G Ex d IIC T6	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~10bar	±0.15%	G1/2外螺纹	316L	316L	硅油	0~6bar	
34	表压压力变送器	PMP51-BC21JB1PGBGMJA1+AK(0~10bar)	E+H	PMP51	ATEX II 2G Ex d IIC T6	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~10bar	±0.15%	G1/2外螺纹	316L	316L	硅油	0~10bar	
35	表压压力变送器	PMP51-BC21JB1SGBGMJA1+AK(0~16bar)	E+H	PMP51	ATEX II 2G Ex d IIC T6	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~40bar	±0.15%	G1/2外螺纹	316L	316L	硅油	0~16bar	
36	表压压力变送器	PMP51-BC21JB1SGBGMJA1+AK(0~25bar)	E+H	PMP51	ATEX II 2G Ex d IIC T6	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~40bar	±0.15%	G1/2外螺纹	316L	316L	硅油	0~25bar	
37	表压压力变送器	PMP51-BC21JB1UGBGMJA1+AK(0~60bar)	E+H	PMP51	ATEX II 2G Ex d IIC T6	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~100bar	±0.15%	G1/2外螺纹	316L	316L	硅油	0~60bar	
38	表压压力变送器	PMP51-BC21JB1UGBGMJA1+AK(0~100bar)	E+H	PMP51	ATEX II 2G Ex d IIC T6	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~100bar	±0.15%	G1/2外螺纹	316L	316L	硅油	0~100bar	
39	表压压力变送器	PMP51-BC21JB1WGBGMJA1+AK(0~160bar)	E+H	PMP51	ATEX II 2G Ex d IIC T6	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~400bar	±0.15%	G1/2外螺纹	316L	316L	硅油	0~160bar	
40	表压压力变送器	PMP51-BC21JB1WGBGMJA1+AK(0~250bar)	E+H	PMP51	ATEX II 2G Ex d IIC T6	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~400bar	±0.15%	G1/2外螺纹	316L	316L	硅油	0~250bar	
41	表压压力变送器	PMP51-BC21JB1PGBG1JA1+AK(0~6bar)	E+H	PMP51	ATEX II 2G Ex d IIC T6	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~10bar	±0.15%	M20*1.5外螺纹	316L	316L	硅油	0~6bar	
42	表压压力变送器	PMP51-BC21JB1PGBG1JA1+AK(0~10bar)	E+H	PMP51	ATEX II 2G Ex d IIC T6	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~10bar	±0.15%	M20*1.5外螺纹	316L	316L	硅油	0~10bar	
43	表压压力变送器	PMP51-BC21JB1SGBG1JA1+AK(0~16bar)	E+H	PMP51	ATEX II 2G Ex d IIC T6	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~40bar	±0.15%	M20*1.5外螺纹	316L	316L	硅油	0~16bar	
44	表压压力变送器	PMP51-BC21JB1SGBG1JA1+AK(0~25bar)	E+H	PMP51	ATEX II 2G Ex d IIC T6	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~40bar	±0.15%	M20*1.5外螺纹	316L	316L	硅油	0~25bar	
45	表压压力变送器	PMP51-BC21JB1UGBG1JA1+AK(0~60bar)	E+H	PMP51	ATEX II 2G Ex d IIC T6	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~100bar	±0.15%	M20*1.5外螺纹	316L	316L	硅油	0~60bar	
46	表压压力变送器	PMP51-BC21JB1UGBG1JA1+AK(0~100bar)	E+H	PMP51	ATEX II 2G Ex d IIC T6	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~100bar	±0.15%	M20*1.5外螺纹	316L	316L	硅油	0~100bar	
47	表压压力变送器	PMP51-BC21JB1WGBG1JA1+AK(0~160bar)	E+H	PMP51	ATEX II 2G Ex d IIC T6	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~400bar	±0.15%	M20*1.5外螺纹	316L	316L	硅油	0~160bar	
48	表压压力变送器	PMP51-BC21JB1WGBG1JA1+AK(0~250bar)	E+H	PMP51	ATEX II 2G Ex d IIC T6	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~400bar	±0.15%	M20*1.5外螺纹	316L	316L	硅油	0~250bar	
49	表压压力变送器	PMP51-BC21JB1PGBR1CB1+AK(0~6bar)	E+H	PMP51	ATEX II 2G Ex d IIC T6	隔爆	4-20mA HART	本地显示及设置	M20	IP66/68	-1~10bar	±0.15%	NPT1/2内螺纹	哈氏合金C	哈氏合金C	硅油	0~6bar	
