		1	1	1	1	1	1	1	1	0	0	0	0
序号	分类名称	供应商型号规格	品牌	产品系列	防爆类型	过程连接	探头材质	探杆长度	电源及输出	接线盒	过程条件	传感器类型	认证
1	音叉物位开关	FTL31-AA4U3AAWBJ	E+H	FTL31	非防爆	螺纹G1/2	316L	63.9mm	10~30VDC;3线PNP	阀塞插接头 ISO4400 M16, IP65 NEMA 类型 4X Encl.	最大过程温度 150℃	一体型316LRa<3.2μm	
2	音叉物位开关	FTL31-AA4U3AAWDJ	E+H	FTL31	非防爆	螺纹G1	316L	66.4mm	10~30VDC;3线PNP	阀塞插接头 ISO4400 M16, IP65 NEMA 类型 4X Encl.	最大过程温度 150℃	一体型316LRa<3.2μm	
3	音叉物位开关	FTL31-AA4U3AAVAJ	E+H	FTL31	非防爆	螺纹MNPT1/2	316L	63.9mm	10~30VDC;3线PNP	阀塞插接头 ISO4400 M16, IP65 NEMA 类型 4X Encl.	最大过程温度 150℃	一体型316LRa<3.2μm	
4	音叉物位开关	FTL31-AA4U3AAVCJ	E+H	FTL31	非防爆	螺纹MNPT1	316L	63.9mm	10~30VDC;3线PNP	阀塞插接头 ISO4400 M16, IP65 NEMA 类型 4X Encl.	最大过程温度 150℃	一体型316LRa<3.2μm	
5	音叉物位开关	FTL31-AA4U3BAWBJ	E+H	FTL31	非防爆	螺纹G1/2	316L	103.3mm	10~30VDC;3线PNP	阀塞插接头 ISO4400 M16, IP65 NEMA 类型 4X Encl.	最大过程温度 150℃	短管型316LRa<3.2μm	
6	音叉物位开关	FTL31-AA4U3BAWDJ	E+H	FTL31	非防爆	螺纹G1	316L	103.3mm	10~30VDC;3线PNP	阀塞插接头 ISO4400 M16, IP65 NEMA 类型 4X Encl.	最大过程温度 150℃	短管型316LRa<3.2μm	
7	音叉物位开关	FTL31-AA4U3BAVAJ	E+H	FTL31	非防爆	螺纹MNPT1/2	316L	103.3mm	10~30VDC;3线PNP	阀塞插接头 ISO4400 M16, IP65 NEMA 类型 4X Encl.	最大过程温度 150℃	短管型316LRa<3.2μm	
8	音叉物位开关	FTL31-AA4U3BAVCJ	E+H	FTL31	非防爆	螺纹MNPT1	316L	103.3mm	10~30VDC;3线PNP	阀塞插接头 ISO4400 M16, IP65 NEMA 类型 4X Encl.	最大过程温度 150℃	短管型316LRa<3.2μm	
23	音叉物位开关	FTL51-AGN2BB2G5A(160mm)	E+H	FTL5X-A	非防爆	螺纹NPT1	316L	160mm	SIL3线PNP;10~55VDC	IP66/68/IP66/67铝;M20电缆密封套(Eexd防爆选项,M20螺纹接口,不带防爆密封套)	-50~150℃	148~6000mm;316L;Ra<3.2um/126uin	
25	音叉物位开关	FTL51-AGQ2BB2G5A(160mm)	E+H	FTL5X-A	非防爆	螺纹G3/4	316L	160mm	SIL3线PNP;10~55VDC	IP66/68/IP66/67铝;M20电缆密封套(Eexd防爆选项,M20螺纹接口,不带防爆密封套)	-50~150℃	148~6000mm;316L;Ra<3.2um/126uin	
27	音叉物位开关	FTL51-AGR2BB2G5A(160mm)	E+H	FTL5X-A	非防爆	螺纹G1	316L	160mm	SIL3线PNP;10~55VDC	IP66/68/IP66/67铝;M20电缆密封套(Eexd防爆选项,M20螺纹接口,不带防爆密封套)	-50~150℃	148~6000mm;316L;Ra<3.2um/126uin	
29	音叉物位开关	FTL51-KGM2BB2G5A(160mm)	E+H	FTL5X-K	隔爆	螺纹NPT3/4	316L	160mm	SIL3线PNP;10~55VDC	IP66/68/IP66/67铝;M20电缆密封套(Eexd防爆选项,M20螺纹接口,不带防爆密封套)	-50~150℃	148~6000mm;316L;Ra<3.2um/126uin	ATEX II 1/2G Ex d IIC T6/IECEx zone0/1
31	音叉物位开关	FTL51-KGN2BB2G5A(160mm)	E+H	FTL5X-K	隔爆	螺纹NPT1	316L	160mm	SIL3线PNP;10~55VDC	IP66/68/IP66/67铝;M20电缆密封套(Eexd防爆选项,M20螺纹接口,不带防爆密封套)	-50~150℃	148~6000mm;316L;Ra<3.2um/126uin	ATEX II 1/2G Ex d IIC T6/IECEx zone0/1
33	音叉物位开关	FTL51-KGQ2BB2G5A(160mm)	E+H	FTL5X-K	隔爆	螺纹G3/4	316L	160mm	SIL3线PNP;10~55VDC	IP66/68/IP66/67铝;M20电缆密封套(Eexd防爆选项,M20螺纹接口,不带防爆密封套)	-50~150℃	148~6000mm;316L;Ra<3.2um/126uin	ATEX II 1/2G Ex d IIC T6/IECEx zone0/1
