是否必填			1	1	1	1	1	1	1	1	1	1	1	1	0
序号	分类名称	供应商型号规格	品牌	产品系列	过程连接类型	过程连接尺寸	过程连接材质	额定量程	信号输出	显示及操作	电缆入口	认证	填充油	毛细管	结构材料
1	双法兰液位变送器	FMD78-ABA7F11B3MAW(W:2m,M:3.5m)	E+H	FMD78-A	法兰 EN1092-1	DN50 PN10-40	法兰316L,膜片316L	500mbar/50kPa/7.5psi	2线,4~20mA SIL HART	本地显示及操作	M20，IP66/67 NEMA6P	非防爆场合	硅油	低压侧:2m,高压侧:3.5m	
2	双法兰液位变送器	FMD78-ABA7F11B3MAW(W:1m,M:2m)	E+H	FMD78-A	法兰 EN1092-1	DN50 PN10-40	法兰316L,膜片316L	500mbar/50kPa/7.5psi	2线,4~20mA SIL HART	本地显示及操作	M20，IP66/67 NEMA6P	非防爆场合	硅油	低压侧:1m,高压侧:2m	
3	双法兰液位变送器	FMD78-ABA7F11B3MAW(W:1m,M:2.5m)	E+H	FMD78-A	法兰 EN1092-1	DN50 PN10-40	法兰316L,膜片316L	500mbar/50kPa/7.5psi	2线,4~20mA SIL HART	本地显示及操作	M20，IP66/67 NEMA6P	非防爆场合	硅油	低压侧:1m,高压侧:2.5m	
4	双法兰液位变送器	FMD78-ABA7F11B3MAW(W:1m,M:3m)	E+H	FMD78-A	法兰 EN1092-1	DN50 PN10-40	法兰316L,膜片316L	500mbar/50kPa/7.5psi	2线,4~20mA SIL HART	本地显示及操作	M20，IP66/67 NEMA6P	非防爆场合	硅油	低压侧:1m,高压侧:3m	
5	双法兰液位变送器	FMD78-ABA7F11B3MAW(W:1m,M:3.5m)	E+H	FMD78-A	法兰 EN1092-1	DN50 PN10-40	法兰316L,膜片316L	500mbar/50kPa/7.5psi	2线,4~20mA SIL HART	本地显示及操作	M20，IP66/67 NEMA6P	非防爆场合	硅油	低压侧:1m,高压侧:3.5m	
6	双法兰液位变送器	FMD78-ABA7F11B3MAW(W:1m,M:4m)	E+H	FMD78-A	法兰 EN1092-1	DN50 PN10-40	法兰316L,膜片316L	500mbar/50kPa/7.5psi	2线,4~20mA SIL HART	本地显示及操作	M20，IP66/67 NEMA6P	非防爆场合	硅油	低压侧:1m,高压侧:4m	
7	双法兰液位变送器	FMD78-ABA7F11B3MAW(W:1m,M:4.5m)	E+H	FMD78-A	法兰 EN1092-1	DN50 PN10-40	法兰316L,膜片316L	500mbar/50kPa/7.5psi	2线,4~20mA SIL HART	本地显示及操作	M20，IP66/67 NEMA6P	非防爆场合	硅油	低压侧:1m,高压侧:4.5m	
8	双法兰液位变送器	FMD78-ABA7F11B3MAW(W:1m,M:5m)	E+H	FMD78-A	法兰 EN1092-1	DN50 PN10-40	法兰316L,膜片316L	500mbar/50kPa/7.5psi	2线,4~20mA SIL HART	本地显示及操作	M20，IP66/67 NEMA6P	非防爆场合	硅油	低压侧:1m,高压侧:5m	
9	双法兰液位变送器	FMD78-ABA7F11B3MAW(W:1m,M:5.5m)	E+H	FMD78-A	法兰 EN1092-1	DN50 PN10-40	法兰316L,膜片316L	500mbar/50kPa/7.5psi	2线,4~20mA SIL HART	本地显示及操作	M20，IP66/67 NEMA6P	非防爆场合	硅油	低压侧:1m,高压侧:5.5m	
