是否必填			1	1	1	1	1	1	1	1	1	1	1	1	0	0
序号	分类名称	供应商型号规格	品牌	产品系列	过程连接	探头	导波件长度	电源	信号输出	电缆入口	显示及操作	密封	防爆等级	精度	防护等级	运行温度和压力
1	导波雷达物位传感器	FMP51-AAACCALAA4GDJ+AK(4000mm)	E+H	FMP51	G螺纹 ISO228 G3/4,316L	缆径4mm,316,带顶部定心杆,适应最大接管高度150mm	4000mm	DC24V	2线,4~20mA HART	电缆密封套 M20	本地显示及操作	FKM Viton, -30~150℃/-22~302℉	非防爆场合	2mm	 IP66/68/6P	
2	导波雷达物位传感器	FMP51-AAACCALAA4GDJ+AK(4500mm)	E+H	FMP51	G螺纹 ISO228 G3/4,316L	缆径4mm,316,带顶部定心杆,适应最大接管高度150mm	4500mm	DC24V	2线,4~20mA HART	电缆密封套 M20	本地显示及操作	FKM Viton, -30~150℃/-22~302℉	非防爆场合	2mm	 IP66/68/6P	
3	导波雷达物位传感器	FMP51-AAACCALAA4GDJ+AK(5000mm)	E+H	FMP51	G螺纹 ISO228 G3/4,316L	缆径4mm,316,带顶部定心杆,适应最大接管高度150mm	5000mm	DC24V	2线,4~20mA HART	电缆密封套 M20	本地显示及操作	FKM Viton, -30~150℃/-22~302℉	非防爆场合	2mm	 IP66/68/6P	
4	导波雷达物位传感器	FMP51-AAACCALAA4GDJ+AK(5500mm)	E+H	FMP51	G螺纹 ISO228 G3/4,316L	缆径4mm,316,带顶部定心杆,适应最大接管高度150mm	5500mm	DC24V	2线,4~20mA HART	电缆密封套 M20	本地显示及操作	FKM Viton, -30~150℃/-22~302℉	非防爆场合	2mm	 IP66/68/6P	
5	导波雷达物位传感器	FMP51-AAACCALAA4GDJ+AK(6000mm)	E+H	FMP51	G螺纹 ISO228 G3/4,316L	缆径4mm,316,带顶部定心杆,适应最大接管高度150mm	6000mm	DC24V	2线,4~20mA HART	电缆密封套 M20	本地显示及操作	FKM Viton, -30~150℃/-22~302℉	非防爆场合	2mm	 IP66/68/6P	
6	导波雷达物位传感器	FMP51-AAACCALAA4GDJ+AK(6500mm)	E+H	FMP51	G螺纹 ISO228 G3/4,316L	缆径4mm,316,带顶部定心杆,适应最大接管高度150mm	6500mm	DC24V	2线,4~20mA HART	电缆密封套 M20	本地显示及操作	FKM Viton, -30~150℃/-22~302℉	非防爆场合	2mm	 IP66/68/6P	
7	导波雷达物位传感器	FMP51-AAACCALAA4GDJ+AK(7000mm)	E+H	FMP51	G螺纹 ISO228 G3/4,316L	缆径4mm,316,带顶部定心杆,适应最大接管高度150mm	7000mm	DC24V	2线,4~20mA HART	电缆密封套 M20	本地显示及操作	FKM Viton, -30~150℃/-22~302℉	非防爆场合	2mm	 IP66/68/6P	
8	导波雷达物位传感器	FMP51-AAACCALAA4GDJ+AK(9000mm)	E+H	FMP51	G螺纹 ISO228 G3/4,316L	缆径4mm,316,带顶部定心杆,适应最大接管高度150mm	9000mm	DC24V	2线,4~20mA HART	电缆密封套 M20	本地显示及操作	FKM Viton, -30~150℃/-22~302℉	非防爆场合	2mm	 IP66/68/6P	
9	导波雷达物位传感器	FMP51-AAACCALAA4GDJ+AK(11600mm)	E+H	FMP51	G螺纹 ISO228 G3/4,316L	缆径4mm,316,带顶部定心杆,适应最大接管高度150mm	11600mm	DC24V	2线,4~20mA HART	电缆密封套 M20	本地显示及操作	FKM Viton, -30~150℃/-22~302℉	非防爆场合	2mm	 IP66/68/6P	
10	导波雷达物位传感器	FMP51-AAACCALAA4GDJ+AK(13600mm)	E+H	FMP51	G螺纹 ISO228 G3/4,316L	缆径4mm,316,带顶部定心杆,适应最大接管高度150mm	13600mm	DC24V	2线,4~20mA HART	电缆密封套 M20	本地显示及操作	FKM Viton, -30~150℃/-22~302℉	非防爆场合	2mm	 IP66/68/6P	
11	导波雷达物位传感器	FMP51-AAACCALAA4GDJ+AK(15600mm)	E+H	FMP51	G螺纹 ISO228 G3/4,316L	缆径4mm,316,带顶部定心杆,适应最大接管高度150mm	15600mm	DC24V	2线,4~20mA HART	电缆密封套 M20	本地显示及操作	FKM Viton, -30~150℃/-22~302℉	非防爆场合	2mm	 IP66/68/6P	
12	导波雷达物位传感器	FMP51-AAACCALAA4GDJ+AK(176000mm)	E+H	FMP51	G螺纹 ISO228 G3/4,316L	缆径4mm,316,带顶部定心杆,适应最大接管高度150mm	17600mm	DC24V	2线,4~20mA HART	电缆密封套 M20	本地显示及操作	FKM Viton, -30~150℃/-22~302℉	非防爆场合	2mm	 IP66/68/6P	
13	导波雷达物位传感器	FMP51-AAACCALAA4GDJ+AK(19600mm)	E+H	FMP51	G螺纹 ISO228 G3/4,316L	缆径4mm,316,带顶部定心杆,适应最大接管高度150mm	19600mm	DC24V	2线,4~20mA HART	电缆密封套 M20	本地显示及操作	FKM Viton, -30~150℃/-22~302℉	非防爆场合	2mm	 IP66/68/6P	
14	导波雷达物位传感器	FMP51-AAACCALAA4GDJ+AK(21600mm)	E+H	FMP51	G螺纹 ISO228 G3/4,316L	缆径4mm,316,带顶部定心杆,适应最大接管高度150mm	21600mm	DC24V	2线,4~20mA HART	电缆密封套 M20	本地显示及操作	FKM Viton, -30~150℃/-22~302℉	非防爆场合	2mm	 IP66/68/6P	
15	导波雷达物位传感器	FMP51-AAACCALAA4GDJ+AK(23600mm)	E+H	FMP51	G螺纹 ISO228 G3/4,316L	缆径4mm,316,带顶部定心杆,适应最大接管高度150mm	23600mm	DC24V	2线,4~20mA HART	电缆密封套 M20	本地显示及操作	FKM Viton, -30~150℃/-22~302℉	非防爆场合	2mm	 IP66/68/6P	
16	导波雷达物位传感器	FMP51-AAACCALAA4RDJ+AK(4000mm)	E+H	FMP51	R螺纹 ANSI MNPT3/4,316L	缆径4mm,316,带顶部定心杆,适应最大接管高度150mm	4000mm	DC24V	2线,4~20mA HART	电缆密封套 M20	本地显示及操作	FKM Viton, -30~150℃/-22~302℉	非防爆场合	2mm	 IP66/68/6P	
17	导波雷达物位传感器	FMP51-AAACCALAA4RDJ+AK(4500mm)	E+H	FMP51	R螺纹 ANSI MNPT3/4,316L	缆径4mm,316,带顶部定心杆,适应最大接管高度150mm	4500mm	DC24V	2线,4~20mA HART	电缆密封套 M20	本地显示及操作	FKM Viton, -30~150℃/-22~302℉	非防爆场合	2mm	 IP66/68/6P	
18	导波雷达物位传感器	FMP51-AAACCALAA4RDJ+AK(5000mm)	E+H	FMP51	R螺纹 ANSI MNPT3/4,316L	缆径4mm,316,带顶部定心杆,适应最大接管高度150mm	5000mm	DC24V	2线,4~20mA HART	电缆密封套 M20	本地显示及操作	FKM Viton, -30~150℃/-22~302℉	非防爆场合	2mm	 IP66/68/6P	
19	导波雷达物位传感器	FMP51-AAACCALAA4RDJ+AK(5500mm)	E+H	FMP51	R螺纹 ANSI MNPT3/4,316L	缆径4mm,316,带顶部定心杆,适应最大接管高度150mm	5500mm	DC24V	2线,4~20mA HART	电缆密封套 M20	本地显示及操作	FKM Viton, -30~150℃/-22~302℉	非防爆场合	2mm	 IP66/68/6P	
20	导波雷达物位传感器	FMP51-AAACCALAA4RDJ+AK(6000mm)	E+H	FMP51	R螺纹 ANSI MNPT3/4,316L	缆径4mm,316,带顶部定心杆,适应最大接管高度150mm	6000mm	DC24V	2线,4~20mA HART	电缆密封套 M20	本地显示及操作	FKM Viton, -30~150℃/-22~302℉	非防爆场合	2mm	 IP66/68/6P	
21	导波雷达物位传感器	FMP51-AAACCALAA4RDJ+AK(6500mm)	E+H	FMP51	R螺纹 ANSI MNPT3/4,316L	缆径4mm,316,带顶部定心杆,适应最大接管高度150mm	6500mm	DC24V	2线,4~20mA HART	电缆密封套 M20	本地显示及操作	FKM Viton, -30~150℃/-22~302℉	非防爆场合	2mm	 IP66/68/6P	
22	导波雷达物位传感器	FMP51-AAACCALAA4RDJ+AK(7000mm)	E+H	FMP51	R螺纹 ANSI MNPT3/4,316L	缆径4mm,316,带顶部定心杆,适应最大接管高度150mm	7000mm	DC24V	2线,4~20mA HART	电缆密封套 M20	本地显示及操作	FKM Viton, -30~150℃/-22~302℉	非防爆场合	2mm	 IP66/68/6P	
23	导波雷达物位传感器	FMP51-AAACCALAA4RDJ+AK(9000mm)	E+H	FMP51	R螺纹 ANSI MNPT3/4,316L	缆径4mm,316,带顶部定心杆,适应最大接管高度150mm	9000mm	DC24V	2线,4~20mA HART	电缆密封套 M20	本地显示及操作	FKM Viton, -30~150℃/-22~302℉	非防爆场合	2mm	 IP66/68/6P	
24	导波雷达物位传感器	FMP51-AAACCALAA4RDJ+AK(11600mm)	E+H	FMP51	R螺纹 ANSI MNPT3/4,316L	缆径4mm,316,带顶部定心杆,适应最大接管高度150mm	11600mm	DC24V	2线,4~20mA HART	电缆密封套 M20	本地显示及操作	FKM Viton, -30~150℃/-22~302℉	非防爆场合	2mm	 IP66/68/6P	
25	导波雷达物位传感器	FMP51-AAACCALAA4RDJ+AK(13600mm)	E+H	FMP51	R螺纹 ANSI MNPT3/4,316L	缆径4mm,316,带顶部定心杆,适应最大接管高度150mm	13600mm	DC24V	2线,4~20mA HART	电缆密封套 M20	本地显示及操作	FKM Viton, -30~150℃/-22~302℉	非防爆场合	2mm	 IP66/68/6P	
26	导波雷达物位传感器	FMP51-AAACCALAA4RDJ+AK(15600mm)	E+H	FMP51	R螺纹 ANSI MNPT3/4,316L	缆径4mm,316,带顶部定心杆,适应最大接管高度150mm	15600mm	DC24V	2线,4~20mA HART	电缆密封套 M20	本地显示及操作	FKM Viton, -30~150℃/-22~302℉	非防爆场合	2mm	 IP66/68/6P	
27	导波雷达物位传感器	FMP51-AAACCALAA4RDJ+AK(176000mm)	E+H	FMP51	R螺纹 ANSI MNPT3/4,316L	缆径4mm,316,带顶部定心杆,适应最大接管高度150mm	17600mm	DC24V	2线,4~20mA HART	电缆密封套 M20	本地显示及操作	FKM Viton, -30~150℃/-22~302℉	非防爆场合	2mm	 IP66/68/6P	
28	导波雷达物位传感器	FMP51-AAACCALAA4RDJ+AK(19600mm)	E+H	FMP51	R螺纹 ANSI MNPT3/4,316L	缆径4mm,316,带顶部定心杆,适应最大接管高度150mm	19600mm	DC24V	2线,4~20mA HART	电缆密封套 M20	本地显示及操作	FKM Viton, -30~150℃/-22~302℉	非防爆场合	2mm	 IP66/68/6P	
29	导波雷达物位传感器	FMP51-AAACCALAA4RDJ+AK(21600mm)	E+H	FMP51	R螺纹 ANSI MNPT3/4,316L	缆径4mm,316,带顶部定心杆,适应最大接管高度150mm	21600mm	DC24V	2线,4~20mA HART	电缆密封套 M20	本地显示及操作	FKM Viton, -30~150℃/-22~302℉	非防爆场合	2mm	 IP66/68/6P	
30	导波雷达物位传感器	FMP51-AAACCALAA4RDJ+AK(23600mm)	E+H	FMP51	R螺纹 ANSI MNPT3/4,316L	缆径4mm,316,带顶部定心杆,适应最大接管高度150mm	23600mm	DC24V	2线,4~20mA HART	电缆密封套 M20	本地显示及操作	FKM Viton, -30~150℃/-22~302℉	非防爆场合	2mm	 IP66/68/6P	
31	导波雷达物位传感器	FMP51-BCACCALAA4GDJ+AK(4000mm)	E+H	FMP51	G螺纹 ISO228 G3/4,316L	缆径4mm,316,带顶部定心杆,适应最大接管高度150mm	4000mm	DC24V	2线,4~20mA HART	电缆密封套 M20	本地显示及操作	FKM Viton, -30~150℃/-22~302℉	ATEX II 1/2G Ex d[ia] IIC T6 Ga/Gb	2mm	 IP66/68/6P	
32	导波雷达物位传感器	FMP51-BCACCALAA4GDJ+AK(4500mm)	E+H	FMP51	G螺纹 ISO228 G3/4,316L	缆径4mm,316,带顶部定心杆,适应最大接管高度150mm	4500mm	DC24V	2线,4~20mA HART	电缆密封套 M20	本地显示及操作	FKM Viton, -30~150℃/-22~302℉	ATEX II 1/2G Ex d[ia] IIC T6 Ga/Gb	2mm	 IP66/68/6P	
33	导波雷达物位传感器	FMP51-BCACCALAA4GDJ+AK(5000mm)	E+H	FMP51	G螺纹 ISO228 G3/4,316L	缆径4mm,316,带顶部定心杆,适应最大接管高度150mm	5000mm	DC24V	2线,4~20mA HART	电缆密封套 M20	本地显示及操作	FKM Viton, -30~150℃/-22~302℉	ATEX II 1/2G Ex d[ia] IIC T6 Ga/Gb	2mm	 IP66/68/6P	
34	导波雷达物位传感器	FMP51-BCACCALAA4GDJ+AK(5500mm)	E+H	FMP51	G螺纹 ISO228 G3/4,316L	缆径4mm,316,带顶部定心杆,适应最大接管高度150mm	5500mm	DC24V	2线,4~20mA HART	电缆密封套 M20	本地显示及操作	FKM Viton, -30~150℃/-22~302℉	ATEX II 1/2G Ex d[ia] IIC T6 Ga/Gb	2mm	 IP66/68/6P	
35	导波雷达物位传感器	FMP51-BCACCALAA4GDJ+AK(6000mm)	E+H	FMP51	G螺纹 ISO228 G3/4,316L	缆径4mm,316,带顶部定心杆,适应最大接管高度150mm	6000mm	DC24V	2线,4~20mA HART	电缆密封套 M20	本地显示及操作	FKM Viton, -30~150℃/-22~302℉	ATEX II 1/2G Ex d[ia] IIC T6 Ga/Gb	2mm	 IP66/68/6P	
36	导波雷达物位传感器	FMP51-BCACCALAA4GDJ+AK(6500mm)	E+H	FMP51	G螺纹 ISO228 G3/4,316L	缆径4mm,316,带顶部定心杆,适应最大接管高度150mm	6500mm	DC24V	2线,4~20mA HART	电缆密封套 M20	本地显示及操作	FKM Viton, -30~150℃/-22~302℉	ATEX II 1/2G Ex d[ia] IIC T6 Ga/Gb	2mm	 IP66/68/6P	
37	导波雷达物位传感器	FMP51-BCACCALAA4GDJ+AK(7000mm)	E+H	FMP51	G螺纹 ISO228 G3/4,316L	缆径4mm,316,带顶部定心杆,适应最大接管高度150mm	7000mm	DC24V	2线,4~20mA HART	电缆密封套 M20	本地显示及操作	FKM Viton, -30~150℃/-22~302℉	ATEX II 1/2G Ex d[ia] IIC T6 Ga/Gb	2mm	 IP66/68/6P	
38	导波雷达物位传感器	FMP51-BCACCALAA4GDJ+AK(9000mm)	E+H	FMP51	G螺纹 ISO228 G3/4,316L	缆径4mm,316,带顶部定心杆,适应最大接管高度150mm	9000mm	DC24V	2线,4~20mA HART	电缆密封套 M20	本地显示及操作	FKM Viton, -30~150℃/-22~302℉	ATEX II 1/2G Ex d[ia] IIC T6 Ga/Gb	2mm	 IP66/68/6P	
39	导波雷达物位传感器	FMP51-BCACCALAA4GDJ+AK(11600mm)	E+H	FMP51	G螺纹 ISO228 G3/4,316L	缆径4mm,316,带顶部定心杆,适应最大接管高度150mm	11600mm	DC24V	2线,4~20mA HART	电缆密封套 M20	本地显示及操作	FKM Viton, -30~150℃/-22~302℉	ATEX II 1/2G Ex d[ia] IIC T6 Ga/Gb	2mm	 IP66/68/6P	
40	导波雷达物位传感器	FMP51-BCACCALAA4GDJ+AK(13600mm)	E+H	FMP51	G螺纹 ISO228 G3/4,316L	缆径4mm,316,带顶部定心杆,适应最大接管高度150mm	13600mm	DC24V	2线,4~20mA HART	电缆密封套 M20	本地显示及操作	FKM Viton, -30~150℃/-22~302℉	ATEX II 1/2G Ex d[ia] IIC T6 Ga/Gb	2mm	 IP66/68/6P	
41	导波雷达物位传感器	FMP51-BCACCALAA4GDJ+AK(15600mm)	E+H	FMP51	G螺纹 ISO228 G3/4,316L	缆径4mm,316,带顶部定心杆,适应最大接管高度150mm	15600mm	DC24V	2线,4~20mA HART	电缆密封套 M20	本地显示及操作	FKM Viton, -30~150℃/-22~302℉	ATEX II 1/2G Ex d[ia] IIC T6 Ga/Gb	2mm	 IP66/68/6P	
42	导波雷达物位传感器	FMP51-BCACCALAA4GDJ+AK(176000mm)	E+H	FMP51	G螺纹 ISO228 G3/4,316L	缆径4mm,316,带顶部定心杆,适应最大接管高度150mm	17600mm	DC24V	2线,4~20mA HART	电缆密封套 M20	本地显示及操作	FKM Viton, -30~150℃/-22~302℉	ATEX II 1/2G Ex d[ia] IIC T6 Ga/Gb	2mm	 IP66/68/6P	
