是否必填			1	1	1	0	0	0	0	0	1	1	0	0
序号	分类名称	供应商型号规格	品牌	产品系列	过程连接	浮球式样	本体管	翻板指示器	外型结构-上端型式	外型结构-下端型式	压力范围	量程	传送器	刻度尺
1	磁翻板液位计	EF311B1K1-0450XM(DN25,PN16)	上海凡宜	EF	法兰连接,DN25,PN16	EFB-2540(SUS316),比重0.7	SUS304,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+控制阀	-1~10kg/cm2	450mm	铝合金烤漆外壳	金属
2	磁翻板液位计	EF311B1K1-0550XM(DN25,PN16)	上海凡宜	EF	法兰连接,DN25,PN16	EFB-2540(SUS316),比重0.7	SUS304,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+控制阀	-1~10kg/cm2	550mm	铝合金烤漆外壳	金属
3	磁翻板液位计	EF311B1K1-0650XM(DN50,PN16)	上海凡宜	EF	法兰连接,DN50,PN16	EFB-2540(SUS316),比重0.7	SUS304,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+控制阀	-1~10kg/cm2	650mm	铝合金烤漆外壳	金属
4	磁翻板液位计	EF311B1K1-0750XM(DN50,PN16)	上海凡宜	EF	法兰连接,DN50,PN16	EFB-2540(SUS316),比重0.7	SUS304,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+控制阀	-1~10kg/cm2	750mm	铝合金烤漆外壳	金属
5	磁翻板液位计	EF311B1K1-0500XM(DN25,PN16)	上海凡宜	EF	法兰连接,DN25,PN16	EFB-2540(SUS316),比重0.7	SUS304,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+控制阀	-1~10kg/cm2	500mm	铝合金烤漆外壳	金属
6	磁翻板液位计	EF311B1K1-0600XM(DN25,PN16)	上海凡宜	EF	法兰连接,DN25,PN16	EFB-2540(SUS316),比重0.7	SUS304,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+控制阀	-1~10kg/cm2	600mm	铝合金烤漆外壳	金属
7	磁翻板液位计	EF311B1K1-0700XM(DN50,PN16)	上海凡宜	EF	法兰连接,DN50,PN16	EFB-2540(SUS316),比重0.7	SUS304,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+控制阀	-1~10kg/cm2	700mm	铝合金烤漆外壳	金属
8	磁翻板液位计	EF311B1K1-0800XM(DN50,PN16)	上海凡宜	EF	法兰连接,DN50,PN16	EFB-2540(SUS316),比重0.7	SUS304,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+控制阀	-1~10kg/cm2	800mm	铝合金烤漆外壳	金属
9	磁翻板液位计	EF311B1K1-0900XM(DN50,PN16)	上海凡宜	EF	法兰连接,DN50,PN16	EFB-2540(SUS316),比重0.7	SUS304,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+控制阀	-1~10kg/cm2	900mm	铝合金烤漆外壳	金属
10	磁翻板液位计	EF311B1K1-1000XM(DN50,PN16)	上海凡宜	EF	法兰连接,DN50,PN16	EFB-2540(SUS316),比重0.7	SUS304,140℃	EFB-0700(-20~200℃)	平盖+塞头	双法兰+控制阀	-1~10kg/cm2	1000mm	铝合金烤漆外壳	金属
