是否必填			1	1	1	1	1	1	1	1	1	1	0	0
序号	分类名称	供应商型号规格	品牌	产品系列	过程连接	接液材质	填充油	信号输出	显示及操作	电缆入口	防爆认证	传感器额定量程	精度	结构材料
1	静压式液位变送器	PMP51-AA21JB1HGCCXJA1+AK	E+H	PMP51	CDN50PN10-40B1,316L法兰EN1092-1	膜片316L SST	硅油-40~130℃	2线,4~20mA HART	本地显示及操作	螺纹M20, IP66/68 NEMA4X/6P	非防爆区	表压1bar/100kPa/15psi,10mH2O/33ftH2O/400inH2O 过压极 10bar/1MPa/150psi	标准级	
2	静压式液位变送器	PMP51-AA21JB1KGCCXJA1+AK	E+H	PMP51	CDN50PN10-40B1,316L法兰EN1092-1	膜片316L SST	硅油-40~130℃	2线,4~20mA HART	本地显示及操作	螺纹M20, IP66/68 NEMA4X/6P	非防爆区	表压2bar/200kPa/30psi,20mH2O/67ftH2O/800inH2O 过压极 20bar/2MPa/300psi	标准级	
3	静压式液位变送器	PMP51-AA21JB1HGCCZJA1+AK	E+H	PMP51	CDN80PN10-40B1,316L法兰EN1092-1	膜片316L SST	硅油-40~130℃	2线,4~20mA HART	本地显示及操作	螺纹M20, IP66/68 NEMA4X/6P	非防爆区	表压1bar/100kPa/15psi,10mH2O/33ftH2O/400inH2O 过压极 10bar/1MPa/150psi	标准级	
4	静压式液位变送器	PMP51-AA21JB1KGCCZJA1+AK	E+H	PMP51	CDN80PN10-40B1,316L法兰EN1092-1	膜片316L SST	硅油-40~130℃	2线,4~20mA HART	本地显示及操作	螺纹M20, IP66/68 NEMA4X/6P	非防爆区	表压2bar/200kPa/30psi,20mH2O/67ftH2O/800inH2O 过压极 20bar/2MPa/300psi	标准级	
5	静压式液位变送器	PMP51-AA21JB1HGCGTJA1+AK	E+H	PMP51	GISO228G1螺纹,316L,齐平式安装(另选配法兰)	膜片316L SST	硅油-40~130℃	2线,4~20mA HART	本地显示及操作	螺纹M20, IP66/68 NEMA4X/6P	非防爆区	表压1bar/100kPa/15psi,10mH2O/33ftH2O/400inH2O 过压极 10bar/1MPa/150psi	标准级	
6	静压式液位变送器	PMP51-AA21JB1KGCGTJA1+AK	E+H	PMP51	GISO228G1螺纹,316L,齐平式安装(另选配法兰)	膜片316L SST	硅油-40~130℃	2线,4~20mA HART	本地显示及操作	螺纹M20, IP66/68 NEMA4X/6P	非防爆区	表压2bar/200kPa/30psi,20mH2O/67ftH2O/800inH2O 过压极 20bar/2MPa/300psi	标准级	
7	静压式液位变送器	PMP51-BC21JB1HGCCXJA1+AK	E+H	PMP51-BC	CDN50PN10-40B1,316L法兰EN1092-1	膜片316L SST	硅油-40~130℃	2线,4~20mA HART	本地显示及操作	螺纹M20, IP66/68 NEMA4X/6P	ATEX II 2G Ex d IIC T6	表压1bar/100kPa/15psi,10mH2O/33ftH2O/400inH2O 过压极 10bar/1MPa/150psi	标准级	
8	静压式液位变送器	PMP51-BC21JB1KGCCXJA1+AK	E+H	PMP51-BC	CDN50PN10-40B1,316L法兰EN1092-1	膜片316L SST	硅油-40~130℃	2线,4~20mA HART	本地显示及操作	螺纹M20, IP66/68 NEMA4X/6P	ATEX II 2G Ex d IIC T6	表压2bar/200kPa/30psi,20mH2O/67ftH2O/800inH2O 过压极 20bar/2MPa/300psi	标准级	
9	静压式液位变送器	PMP51-BC21JB1HGCCZJA1+AK	E+H	PMP51-BC	CDN80PN10-40B1,316L法兰EN1092-1	膜片316L SST	硅油-40~130℃	2线,4~20mA HART	本地显示及操作	螺纹M20, IP66/68 NEMA4X/6P	ATEX II 2G Ex d IIC T6	表压1bar/100kPa/15psi,10mH2O/33ftH2O/400inH2O 过压极 10bar/1MPa/150psi	标准级	
10	静压式液位变送器	PMP51-BC21JB1KGCCZJA1+AK	E+H	PMP51-BC	CDN80PN10-40B1,316L法兰EN1092-1	膜片316L SST	硅油-40~130℃	2线,4~20mA HART	本地显示及操作	螺纹M20, IP66/68 NEMA4X/6P	ATEX II 2G Ex d IIC T6	表压2bar/200kPa/30psi,20mH2O/67ftH2O/800inH2O 过压极 20bar/2MPa/300psi	标准级	
11	静压式液位变送器	PMP51-BC21JB1HGCGTJA1+AK	E+H	PMP51-BC	GISO228G1螺纹,316L,齐平式安装(另选配法兰)	膜片316L SST	硅油-40~130℃	2线,4~20mA HART	本地显示及操作	螺纹M20, IP66/68 NEMA4X/6P	ATEX II 2G Ex d IIC T6	表压1bar/100kPa/15psi,10mH2O/33ftH2O/400inH2O 过压极 10bar/1MPa/150psi	标准级	
12	静压式液位变送器	PMP51-BC21JB1KGCGTJA1+AK	E+H	PMP51-BC	GISO228G1螺纹,316L,齐平式安装(另选配法兰)	膜片316L SST	硅油-40~130℃	2线,4~20mA HART	本地显示及操作	螺纹M20, IP66/68 NEMA4X/6P	ATEX II 2G Ex d IIC T6	表压2bar/200kPa/30psi,20mH2O/67ftH2O/800inH2O 过压极 20bar/2MPa/300psi	标准级	
