是否必填			1	1	1	1	1	1	1	1	0
序号	分类名称	供应商型号规格	品牌	产品系列	壳架电流	分断能力	脱扣器	极数	额定电流	控制器型号	控制器电压
1	双电源	ATS NSX100/16F 3P3D-BA AC220V TM-D	施耐德	ATS	100A	36KA	TM-D	3P	16	BA	AC220V
2	双电源	ATS NSX100/25F 3P3D-BA AC220V TM-D	施耐德	ATS	100A	36KA	TM-D	3P	25	BA	AC220V
3	双电源	ATS NSX100/32F 3P3D-BA AC220V TM-D	施耐德	ATS	100A	36KA	TM-D	3P	32	BA	AC220V
4	双电源	ATS NSX100/40F 3P3D-BA AC220V TM-D	施耐德	ATS	100A	36KA	TM-D	3P	40	BA	AC220V
5	双电源	ATS NSX100/50F 3P3D-BA AC220V TM-D	施耐德	ATS	100A	36KA	TM-D	3P	50	BA	AC220V
6	双电源	ATS NSX100/63F 3P3D-BA AC220V TM-D	施耐德	ATS	100A	36KA	TM-D	3P	63	BA	AC220V
7	双电源	ATS NSX100/80F 3P3D-BA AC220V TM-D	施耐德	ATS	100A	36KA	TM-D	3P	80	BA	AC220V
8	双电源	ATS NSX100/100F 3P3D-BA AC220V TM-D	施耐德	ATS	100A	36KA	TM-D	3P	100	BA	AC220V
9	双电源	ATS NSX100/16N 3P3D-BA AC220V TM-D	施耐德	ATS	100A	50KA	TM-D	3P	16	BA	AC220V
10	双电源	ATS NSX100/25N 3P3D-BA AC220V TM-D	施耐德	ATS	100A	50KA	TM-D	3P	25	BA	AC220V
11	双电源	ATS NSX100/32N 3P3D-BA AC220V TM-D	施耐德	ATS	100A	50KA	TM-D	3P	32	BA	AC220V
12	双电源	ATS NSX100/40N 3P3D-BA AC220V TM-D	施耐德	ATS	100A	50KA	TM-D	3P	40	BA	AC220V
13	双电源	ATS NSX100/50N 3P3D-BA AC220V TM-D	施耐德	ATS	100A	50KA	TM-D	3P	50	BA	AC220V
14	双电源	ATS NSX100/63N 3P3D-BA AC220V TM-D	施耐德	ATS	100A	50KA	TM-D	3P	63	BA	AC220V
15	双电源	ATS NSX100/80N 3P3D-BA AC220V TM-D	施耐德	ATS	100A	50KA	TM-D	3P	80	BA	AC220V
16	双电源	ATS NSX100/100N 3P3D-BA AC220V TM-D	施耐德	ATS	100A	50KA	TM-D	3P	100	BA	AC220V
17	双电源	ATS HSX100/16H 3P3D-BA AC220V TM-D	施耐德	ATS	100A	70KA	TM-D	3P	16	BA	AC220V
18	双电源	ATS HSX100/25H 3P3D-BA AC220V TM-D	施耐德	ATS	100A	70KA	TM-D	3P	25	BA	AC220V
19	双电源	ATS HSX100/32H 3P3D-BA AC220V TM-D	施耐德	ATS	100A	70KA	TM-D	3P	32	BA	AC220V
20	双电源	ATS HSX100/40H 3P3D-BA AC220V TM-D	施耐德	ATS	100A	70KA	TM-D	3P	40	BA	AC220V
21	双电源	ATS HSX100/50H 3P3D-BA AC220V TM-D	施耐德	ATS	100A	70KA	TM-D	3P	50	BA	AC220V
22	双电源	ATS HSX100/63H 3P3D-BA AC220V TM-D	施耐德	ATS	100A	70KA	TM-D	3P	63	BA	AC220V
23	双电源	ATS HSX100/80H 3P3D-BA AC220V TM-D	施耐德	ATS	100A	70KA	TM-D	3P	80	BA	AC220V
24	双电源	ATS HSX100/100H 3P3D-BA AC220V TM-D	施耐德	ATS	100A	70KA	TM-D	3P	100	BA	AC220V
25	双电源	ATS NSX100/16F 3P3D-UA AC220V TM-D	施耐德	ATS	100A	36KA	TM-D	3P	16	UA	AC220V
26	双电源	ATS NSX100/25F 3P3D-UA AC220V TM-D	施耐德	ATS	100A	36KA	TM-D	3P	25	UA	AC220V
27	双电源	ATS NSX100/32F 3P3D-UA AC220V TM-D	施耐德	ATS	100A	36KA	TM-D	3P	32	UA	AC220V
28	双电源	ATS NSX100/40F 3P3D-UA AC220V TM-D	施耐德	ATS	100A	36KA	TM-D	3P	40	UA	AC220V
29	双电源	ATS NSX100/50F 3P3D-UA AC220V TM-D	施耐德	ATS	100A	36KA	TM-D	3P	50	UA	AC220V
30	双电源	ATS NSX100/63F 3P3D-UA AC220V TM-D	施耐德	ATS	100A	36KA	TM-D	3P	63	UA	AC220V
31	双电源	ATS NSX100/80F 3P3D-UA AC220V TM-D	施耐德	ATS	100A	36KA	TM-D	3P	80	UA	AC220V
32	双电源	ATS NSX100/100F 3P3D-UA AC220V TM-D	施耐德	ATS	100A	36KA	TM-D	3P	100	UA	AC220V
33	双电源	ATS NSX100/16N 3P3D-UA AC220V TM-D	施耐德	ATS	100A	50KA	TM-D	3P	16	UA	AC220V
34	双电源	ATS NSX100/25N 3P3D-UA AC220V TM-D	施耐德	ATS	100A	50KA	TM-D	3P	25	UA	AC220V
35	双电源	ATS NSX100/32N 3P3D-UA AC220V TM-D	施耐德	ATS	100A	50KA	TM-D	3P	32	UA	AC220V
36	双电源	ATS NSX100/40N 3P3D-UA AC220V TM-D	施耐德	ATS	100A	50KA	TM-D	3P	40	UA	AC220V
37	双电源	ATS NSX100/50N 3P3D-UA AC220V TM-D	施耐德	ATS	100A	50KA	TM-D	3P	50	UA	AC220V
