是否必填			1	1	1	1	0
序号	分类名称	供应商型号规格	品牌	产品系列	产品名称	订货号	备注
1	开关类产品附件	OF/SD	施耐德	NSX/NS	OF辅助触点	29450	
2	开关类产品附件	AX辅助触点	施耐德	EZD	AX辅助触点	30160	
3	开关类产品附件	PA33863	施耐德	NS	直接旋转手柄装置-黑色手柄及面罩	PA33863	
4	开关类产品附件	瞬动失压线圈MN-AC220V F	施耐德	EVS	瞬动失压线圈MN	E54948	固定式框架配件
5	开关类产品附件	瞬动失压线圈MN-AC220V D	施耐德	EVS	瞬动失压线圈MN	E55169	抽屉式框架配件
6	开关类产品附件	瞬动失压线圈 MN-AC200-250V F	施耐德	MVS	瞬动失压线圈MN	47383	固定式框架配件
7	开关类产品附件	瞬动失压线圈 MN-AC200-250V D	施耐德	MVS	瞬动失压线圈MN	33822	抽屉式框架配件
8	开关类产品附件	MN 200-250Vac/dc	施耐德	MT	MN-欠电压脱扣器	47383	固定式框架配件
9	开关类产品附件	MN 200-250Vac/dc	施耐德	MT	MN-欠电压脱扣器	48504	抽屉式框架配件
10	开关类产品附件	GVAE1	施耐德	TeSys	瞬时辅助触头	GVAE1	前面安装
11	开关类产品附件	GVAE20	施耐德	TeSys	瞬时辅助触头	GVAE20	前面安装
12	开关类产品附件	GVAN11	施耐德	TeSys	瞬时辅助触头	GVAN11	侧面安装
13	开关类产品附件	GVAN20	施耐德	TeSys	瞬时辅助触头	GVAN20	侧面安装
14	开关类产品附件	辅助触点-1NO/INFD800	施耐德	INFD	辅助触点	49609	
15	开关类产品附件	辅助触点-1NC/INFD40	施耐德	INFD	辅助触点	49610	
