是否必填			1	1	1	1	1	1	1	1	1	0
序号	分类名称	供应商型号规格	品牌	产品系列	应用类别	分断能力	脱扣曲线	额定电流	极数	可配剩余电流动作附件	额定剩余动作电流	可配电气附件
1	微型断路器	iC65 N-B 1A /1P	施耐德	iC65	标准断路器	6KA	B型	1A	1P	无漏电保护	无漏电保护	无脱扣附件
2	微型断路器	iC65 N-B 2A /1P	施耐德	iC65	标准断路器	6KA	B型	2A	1P	无漏电保护	无漏电保护	无脱扣附件
3	微型断路器	iC65 N-B 3A /1P	施耐德	iC65	标准断路器	6KA	B型	3A	1P	无漏电保护	无漏电保护	无脱扣附件
4	微型断路器	iC65 N-B 4A /1P	施耐德	iC65	标准断路器	6KA	B型	4A	1P	无漏电保护	无漏电保护	无脱扣附件
5	微型断路器	iC65 N-B 6A /1P	施耐德	iC65	标准断路器	6KA	B型	6A	1P	无漏电保护	无漏电保护	无脱扣附件
6	微型断路器	iC65 N-B 10A /1P	施耐德	iC65	标准断路器	6KA	B型	10A	1P	无漏电保护	无漏电保护	无脱扣附件
7	微型断路器	iC65 N-B 16A /1P	施耐德	iC65	标准断路器	6KA	B型	16A	1P	无漏电保护	无漏电保护	无脱扣附件
8	微型断路器	iC65 N-B 20A /1P	施耐德	iC65	标准断路器	6KA	B型	20A	1P	无漏电保护	无漏电保护	无脱扣附件
9	微型断路器	iC65 N-B 25A /1P	施耐德	iC65	标准断路器	6KA	B型	25A	1P	无漏电保护	无漏电保护	无脱扣附件
10	微型断路器	iC65 N-B 32A /1P	施耐德	iC65	标准断路器	6KA	B型	32A	1P	无漏电保护	无漏电保护	无脱扣附件
11	微型断路器	iC65 N-B 40A /1P	施耐德	iC65	标准断路器	6KA	B型	40A	1P	无漏电保护	无漏电保护	无脱扣附件
12	微型断路器	iC65 N-B 50A /1P	施耐德	iC65	标准断路器	6KA	B型	50A	1P	无漏电保护	无漏电保护	无脱扣附件
13	微型断路器	iC65 N-B 63A /1P	施耐德	iC65	标准断路器	6KA	B型	63A	1P	无漏电保护	无漏电保护	无脱扣附件
14	微型断路器	iC65 H-B 1A /1P	施耐德	iC65	标准断路器	10KA	B型	1A	1P	无漏电保护	无漏电保护	无脱扣附件
15	微型断路器	iC65 H-B 2A /1P	施耐德	iC65	标准断路器	10KA	B型	2A	1P	无漏电保护	无漏电保护	无脱扣附件
16	微型断路器	iC65 H-B 3A /1P	施耐德	iC65	标准断路器	10KA	B型	3A	1P	无漏电保护	无漏电保护	无脱扣附件
17	微型断路器	iC65 H-B 4A /1P	施耐德	iC65	标准断路器	10KA	B型	4A	1P	无漏电保护	无漏电保护	无脱扣附件
18	微型断路器	iC65 H-B 6A /1P	施耐德	iC65	标准断路器	10KA	B型	6A	1P	无漏电保护	无漏电保护	无脱扣附件
19	微型断路器	iC65 H-B 10A /1P	施耐德	iC65	标准断路器	10KA	B型	10A	1P	无漏电保护	无漏电保护	无脱扣附件
20	微型断路器	iC65 H-B 16A /1P	施耐德	iC65	标准断路器	10KA	B型	16A	1P	无漏电保护	无漏电保护	无脱扣附件
