是否必填			1	1	1	1	1	1
序号	分类名称	供应商型号规格	品牌	产品系列	操作方式	额定电流范围	接线方式	国产进口
1	电动机保护断路器	GV2ME01C	施耐德	TeSys GV2	ME:按钮控制，热磁型	0.10-0.16	带螺钉接线端子	国产
2	电动机保护断路器	GV2ME02C	施耐德	TeSys GV2	ME:按钮控制，热磁型	0.16-0.25	带螺钉接线端子	国产
3	电动机保护断路器	GV2ME03C	施耐德	TeSys GV2	ME:按钮控制，热磁型	0.25-0.40	带螺钉接线端子	国产
4	电动机保护断路器	GV2ME04C	施耐德	TeSys GV2	ME:按钮控制，热磁型	0.40-0.63	带螺钉接线端子	国产
5	电动机保护断路器	GV2ME05C	施耐德	TeSys GV2	ME:按钮控制，热磁型	0.63-1	带螺钉接线端子	国产
6	电动机保护断路器	GV2ME06C	施耐德	TeSys GV2	ME:按钮控制，热磁型	1-1.6	带螺钉接线端子	国产
7	电动机保护断路器	GV2ME07C	施耐德	TeSys GV2	ME:按钮控制，热磁型	1.6-2.5	带螺钉接线端子	国产
8	电动机保护断路器	GV2ME08C	施耐德	TeSys GV2	ME:按钮控制，热磁型	2.5-4	带螺钉接线端子	国产
9	电动机保护断路器	GV2ME10C	施耐德	TeSys GV2	ME:按钮控制，热磁型	4-6.3	带螺钉接线端子	国产
10	电动机保护断路器	GV2ME14C	施耐德	TeSys GV2	ME:按钮控制，热磁型	6-10	带螺钉接线端子	国产
11	电动机保护断路器	GV2ME16C	施耐德	TeSys GV2	ME:按钮控制，热磁型	9-14A	带螺钉接线端子	国产
12	电动机保护断路器	GV2ME20C	施耐德	TeSys GV2	ME:按钮控制，热磁型	13-18A	带螺钉接线端子	国产
13	电动机保护断路器	GV2ME21C	施耐德	TeSys GV2	ME:按钮控制，热磁型	17-23A	带螺钉接线端子	国产
14	电动机保护断路器	GV2ME22C	施耐德	TeSys GV2	ME:按钮控制，热磁型	20-25A	带螺钉接线端子	国产
15	电动机保护断路器	GV2ME32C	施耐德	TeSys GV2	ME:按钮控制，热磁型	24-32A	带螺钉接线端子	国产
